a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
cat_med_CKD12	IRI_72h	0.336873	0.37682	cross_species	cat	iri	False	
cat_med_CKD12	IRI_7d	0.326588	0.441486	cross_species	cat	iri	False	
cat_med_CKD12	IRI_14d	0.285735	0.392509	cross_species	cat	iri	False	
cat_med_CKD12	IRI_28d	0.301272	0.405936	cross_species	cat	iri	False	
cat_med_CKD12	IRI_12mo	0.280545	0.371923	cross_species	cat	iri	False	
cat_med_CKD34	mouse_5D	0.264929	0.248719	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_2W	0.362709	0.363977	cross_species	cat	podtreck	False	
cat_med_CKD34	mouse_3W	0.375509	0.405803	cross_species	cat	podtreck	False	
cat_med_CKD34	IRI_2h	0.239056	0.279848	cross_species	cat	iri	False	
cat_med_CKD34	IRI_4h	0.249477	0.261623	cross_species	cat	iri	False	
cat_med_CKD34	IRI_24h	0.351037	0.342823	cross_species	cat	iri	False	
cat_med_CKD34	IRI_48h	0.437928	0.438917	cross_species	cat	iri	False	
cat_med_CKD34	IRI_72h	0.423498	0.387571	cross_species	cat	iri	False	
cat_med_CKD34	IRI_7d	0.436562	0.48842	cross_species	cat	iri	False	
cat_med_CKD34	IRI_14d	0.359636	0.383403	cross_species	cat	iri	False	
cat_med_CKD34	IRI_28d	0.283879	0.258025	cross_species	cat	iri	False	
cat_med_CKD34	IRI_12mo	0.432829	0.532957	cross_species	cat	iri	False	
mouse_5D	mouse_2W	0.661728	0.632437	within_dataset	podtreck	podtreck	True	
mouse_5D	mouse_3W	0.653475	0.607813	within_dataset	podtreck	podtreck	True	
mouse_5D	IRI_2h	0.084545	-0.03175	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_4h	0.342022	0.262205	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_24h	0.519676	0.537146	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_48h	0.541248	0.534968	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_72h	0.654652	0.653817	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_7d	0.505283	0.4784	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_14d	0.279588	0.250795	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_28d	0.41339	0.427294	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_12mo	0.291466	0.292193	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	mouse_3W	0.948762	0.912213	within_dataset	podtreck	podtreck	True	
mouse_2W	IRI_2h	0.11928	0.107514	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_4h	0.280814	0.293877	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_24h	0.761609	0.753746	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_48h	0.672634	0.666525	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_72h	0.730786	0.742717	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_7d	0.807058	0.785852	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_14d	0.637988	0.6243	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_28d	0.775219	0.767092	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_12mo	0.559322	0.529202	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_2h	0.134237	0.105708	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_4h	0.279519	0.290597	same_species_diff_dataset	podtreck	iri	False	
