a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
cat_CKD34	IRI_24h	0.4365	0.4237	cross_species	cat	iri	False		0.9314	0.8676	0.9543	0.4686	0.4574	0.5031	False	0.8761	0.9334		False
cat_CKD34	IRI_48h	0.4731	0.4197	cross_species	cat	iri	False		0.9176	0.8568	0.9475	0.5156	0.4992	0.5521	False	0.8534	0.9207		False
cat_CKD34	IRI_72h	0.4941	0.4474	cross_species	cat	iri	False		0.8726	0.7915	0.9309	0.5662	0.5308	0.6242	False	0.7804	0.8764		False
cat_CKD34	IRI_7d	0.5123	0.4824	cross_species	cat	iri	False		0.929	0.8685	0.9528	0.5514	0.5376	0.5899	False	0.8755	0.9331		False
cat_CKD34	IRI_14d	0.4672	0.4297	cross_species	cat	iri	False		0.9129	0.8486	0.9435	0.5117	0.4951	0.5505	False	0.8501	0.9189		False
cat_CKD34	IRI_28d	0.5007	0.4589	cross_species	cat	iri	False		0.9092	0.7929	0.9404	0.5507	0.5325	0.6316	False	0.8362	0.9107		False
cat_CKD34	IRI_12mo	0.5291	0.4405	cross_species	cat	iri	False		0.8841	0.8215	0.9237	0.5985	0.5728	0.6441	False	0.7988	0.8881		False
cat_med_CKD12	cat_med_CKD34	0.7622	0.6918	within_dataset	cat	cat	True	same_compartment_diff_stage	0.7762	0.455	0.8806	0.9815	0.8655	1.651	False	0.6598	0.7931	0.7783	True
cat_med_CKD12	mouse_5D	0.2159	0.2434	cross_species	cat	podtreck	False		0.9057	0.762	0.9407	0.2384	0.2295	0.2833	False	0.8305	0.9066		False
cat_med_CKD12	mouse_2W	0.3737	0.4696	cross_species	cat	podtreck	False		0.9265	0.7781	0.9608	0.4034	0.389	0.4803	False	0.8659	0.9262		False
cat_med_CKD12	mouse_3W	0.3765	0.4449	cross_species	cat	podtreck	False		0.8895	0.736	0.9437	0.4233	0.399	0.5116	False	0.8448	0.9146		False
cat_med_CKD12	IRI_2h	0.1795	0.2229	cross_species	cat	iri	False		0.8415	0.6782	0.9075	0.2133	0.1978	0.2646	False	0.7392	0.8499		False
cat_med_CKD12	IRI_4h	0.2268	0.2437	cross_species	cat	iri	False		0.8846	0.7151	0.9246	0.2564	0.2453	0.3172	False	0.7984	0.8876		False
cat_med_CKD12	IRI_24h	0.3679	0.3851	cross_species	cat	iri	False		0.9109	0.7525	0.9496	0.4039	0.3874	0.4889	False	0.8448	0.9146		False
cat_med_CKD12	IRI_48h	0.3732	0.3953	cross_species	cat	iri	False		0.8995	0.7456	0.9414	0.4149	0.3964	0.5005	False	0.8229	0.9022		False
cat_med_CKD12	IRI_72h	0.3817	0.4108	cross_species	cat	iri	False		0.8502	0.7077	0.9263	0.4489	0.412	0.5394	False	0.7525	0.8587		False
cat_med_CKD12	IRI_7d	0.3903	0.4827	cross_species	cat	iri	False		0.9112	0.7586	0.9478	0.4283	0.4118	0.5145	False	0.8442	0.9143		False
cat_med_CKD12	IRI_14d	0.3579	0.451	cross_species	cat	iri	False		0.8916	0.7473	0.9336	0.4014	0.3833	0.4789	False	0.8197	0.9003		False
cat_med_CKD12	IRI_28d	0.356	0.4534	cross_species	cat	iri	False		0.8877	0.7343	0.9329	0.4011	0.3816	0.4848	False	0.8063	0.8924		False
cat_med_CKD12	IRI_12mo	0.3751	0.447	cross_species	cat	iri	False		0.8625	0.722	0.9197	0.4348	0.4078	0.5195	False	0.7702	0.8702		False
cat_med_CKD34	mouse_5D	0.278	0.2539	cross_species	cat	podtreck	False		0.8308	0.5043	0.9117	0.3346	0.3049	0.52	False	0.72	0.8318		False
cat_med_CKD34	mouse_2W	0.36	0.397	cross_species	cat	podtreck	False		0.8499	0.5183	0.9362	0.4236	0.3845	0.6535	False	0.7507	0.8498		False
cat_med_CKD34	mouse_3W	0.3778	0.4246	cross_species	cat	podtreck	False		0.8091	0.4931	0.9125	0.4669	0.414	0.7542	False	0.7324	0.8393		False
cat_med_CKD34	IRI_2h	0.2522	0.2899	cross_species	cat	iri	False		0.7652	0.4534	0.87	0.3293	0.2899	0.5451	False	0.6409	0.7799		False
