a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling
IRI_4h	IRI_14d	0.3985	0.4087	within_dataset	iri	iri	True		0.9118	0.7963	0.9393	0.4371	0.4243	0.5005	False
IRI_4h	IRI_28d	0.3912	0.3642	within_dataset	iri	iri	True		0.9106	0.7969	0.9407	0.4296	0.4158	0.4909	False
IRI_4h	IRI_12mo	0.3391	0.3847	within_dataset	iri	iri	False		0.8922	0.7774	0.9252	0.3801	0.3665	0.4362	False
IRI_24h	IRI_48h	0.8905	0.8266	within_dataset	iri	iri	True		0.9649	0.9346	0.9826	0.9229	0.9063	0.9528	False
IRI_24h	IRI_72h	0.8526	0.8002	within_dataset	iri	iri	True		0.9316	0.8877	0.9686	0.9152	0.8803	0.9605	False
IRI_24h	IRI_7d	0.8245	0.7916	within_dataset	iri	iri	True		0.9715	0.9426	0.9832	0.8487	0.8386	0.8747	False
IRI_24h	IRI_14d	0.6452	0.6142	within_dataset	iri	iri	True		0.9566	0.924	0.9763	0.6745	0.6609	0.6983	False
IRI_24h	IRI_28d	0.7164	0.7157	within_dataset	iri	iri	True		0.9566	0.8805	0.9764	0.7489	0.7337	0.8136	False
IRI_24h	IRI_12mo	0.6038	0.5841	within_dataset	iri	iri	False		0.9371	0.9033	0.9595	0.6444	0.6293	0.6685	False
IRI_48h	IRI_72h	0.9492	0.9201	within_dataset	iri	iri	True		0.9278	0.8814	0.9699	1.0231	0.9787	1.0769	True
IRI_48h	IRI_7d	0.8715	0.8231	within_dataset	iri	iri	True		0.9683	0.9401	0.9832	0.9	0.8863	0.927	False
IRI_48h	IRI_14d	0.6991	0.6021	within_dataset	iri	iri	True		0.9524	0.921	0.9754	0.734	0.7167	0.7591	False
IRI_48h	IRI_28d	0.7641	0.6827	within_dataset	iri	iri	True		0.953	0.8807	0.9768	0.8017	0.7823	0.8676	False
IRI_48h	IRI_12mo	0.7253	0.706	within_dataset	iri	iri	False		0.9332	0.8975	0.9606	0.7772	0.755	0.8081	False
IRI_72h	IRI_7d	0.8982	0.8557	within_dataset	iri	iri	True		0.9347	0.8916	0.9709	0.961	0.9251	1.0074	False
IRI_72h	IRI_14d	0.7286	0.6463	within_dataset	iri	iri	True		0.9193	0.8768	0.9633	0.7926	0.7564	0.8311	False
IRI_72h	IRI_28d	0.8158	0.7697	within_dataset	iri	iri	True		0.9197	0.8543	0.9652	0.8871	0.8452	0.9549	False
IRI_72h	IRI_12mo	0.7314	0.6678	within_dataset	iri	iri	False		0.9009	0.8548	0.946	0.8119	0.7731	0.8557	False
IRI_7d	IRI_14d	0.8578	0.7988	within_dataset	iri	iri	True		0.9603	0.9288	0.9769	0.8932	0.8781	0.9235	False
IRI_7d	IRI_28d	0.9106	0.829	within_dataset	iri	iri	True		0.9597	0.8816	0.9773	0.9488	0.9317	1.0329	False
IRI_7d	IRI_12mo	0.812	0.7635	within_dataset	iri	iri	False		0.9399	0.9119	0.9613	0.8639	0.8446	0.8905	False
IRI_14d	IRI_28d	0.8501	0.7611	within_dataset	iri	iri	True		0.9443	0.8736	0.9698	0.9002	0.8765	0.9731	False
IRI_14d	IRI_12mo	0.7655	0.6461	within_dataset	iri	iri	False		0.9258	0.8895	0.9537	0.8268	0.8026	0.8606	False
IRI_28d	IRI_12mo	0.7989	0.5689	within_dataset	iri	iri	False		0.9248	0.8624	0.9546	0.8639	0.8369	0.9264	False
