collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	Protein-Containing Complex Assembly (GO:0065003)	32	0.8834	0.6083	0.1965	0.8339	0.552	0.1965	0.8149	0.5032	0.1965
GO_BP	Proteolysis (GO:0006508)	31	0.8229	0.4176	-0.006	0.8093	0.4189	-0.006	0.7881	0.4121	-0.006
GO_BP	Regulation Of DNA-templated Transcription (GO:0006355)	200	0.8498	0.6199	0.3752	0.8376	0.6214	0.3752	0.819	0.5472	0.3752
GO_BP	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	31	0.9225	0.7347	0.3124	0.9386	0.7231	0.3124	0.9315	0.7225	0.3124
GO_BP	Regulation Of Apoptotic Process (GO:0042981)	90	0.8573	0.5917	0.3197	0.8499	0.5794	0.3197	0.8327	0.568	0.3197
GO_BP	Regulation Of Autophagy (GO:0010506)	43	0.8024	0.513	0.2957	0.7644	0.4749	0.2957	0.7375	0.4446	0.2957
GO_BP	Regulation Of Cell Cycle (GO:0051726)	50	0.9146	0.7087	0.5069	0.8958	0.7144	0.5069	0.8839	0.6961	0.5069
GO_BP	Regulation Of Cell Growth (GO:0001558)	33	0.6519	0.5619	0.3716	0.6741	0.652	0.3716	0.6369	0.5282	0.3716
GO_BP	Regulation Of Cell Migration (GO:0030334)	59	0.6464	0.5995	0.503	0.6619	0.6085	0.503	0.6232	0.5715	0.503
GO_BP	Regulation Of Cell Population Proliferation (GO:0042127)	91	0.7326	0.7221	0.544	0.7682	0.7347	0.544	0.7417	0.6804	0.544
GO_BP	Regulation Of Gene Expression (GO:0010468)	110	0.6675	0.6176	0.4616	0.687	0.6257	0.4616	0.653	0.5968	0.4616
GO_BP	Regulation Of Intracellular Signal Transduction (GO:1902531)	46	0.7885	0.5207	0.2716	0.7682	0.5148	0.2716	0.7417	0.4775	0.2716
GO_BP	Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	41	0.8741	0.588	0.2819	0.8638	0.5783	0.2819	0.8506	0.5688	0.2819
GO_BP	Regulation Of Protein Phosphorylation (GO:0001932)	40	0.6612	0.5623	0.3154	0.6918	0.5675	0.3154	0.6571	0.5148	0.3154
GO_BP	Transcription By RNA Polymerase II (GO:0006366)	34	0.8154	0.5784	0.276	0.8221	0.5648	0.276	0.8077	0.563	0.276
GO_BP	Translation (GO:0006412)	31	0.6534	0.5768	0.3616	0.7062	0.6023	0.3616	0.6845	0.5991	0.3616
GO_BP	Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	40	0.7185	0.5791	0.3462	0.7046	0.5808	0.3462	0.6708	0.4769	0.3462
GO_BP	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	77	0.7584	0.5308	0.3179	0.7297	0.5271	0.3179	0.6988	0.4711	0.3179
GO_BP	Vesicle-Mediated Transport (GO:0016192)	54	0.91	0.5599	0.198	0.9113	0.5539	0.198	0.9012	0.5414	0.198
KEGG	Alzheimer disease	37	0.8125	0.6556	0.3782	0.8632	0.6465	0.3782	0.8476	0.6373	0.3782
KEGG	Autophagy	34	0.8423	0.5468	0.282	0.8157	0.5203	0.282	0.7946	0.4621	0.282
KEGG	Hippo signaling pathway	31	0.9036	0.7303	0.3125	0.8691	0.6982	0.3125	0.8542	0.5999	0.3125
KEGG	Human cytomegalovirus infection	32	0.7457	0.7291	0.5147	0.7767	0.7326	0.5147	0.7714	0.7384	0.5147
KEGG	Human papillomavirus infection	52	0.7367	0.7643	0.5593	0.7788	0.7653	0.5593	0.7619	0.7653	0.5593
KEGG	MAPK signaling pathway	34	0.669	0.7366	0.6139	0.6966	0.7338	0.6139	0.6619	0.715	0.6139
KEGG	PI3K-Akt signaling pathway	48	0.7248	0.7723	0.5793	0.7537	0.7717	0.5793	0.7286	0.7377	0.5793
KEGG	Pathways in cancer	72	0.7575	0.6634	0.4592	0.7719	0.6646	0.4592	0.7458	0.6511	0.4592
KEGG	Pathways of neurodegeneration	43	0.765	0.4941	0.3211	0.7842	0.4947	0.3211	0.7595	0.481	0.3211
KEGG	Salmonella infection	30	0.7847	0.7816	0.6321	0.804	0.7908	0.6321	0.7833	0.7899	0.6321
KEGG	Shigellosis	37	0.9459	0.7293	0.4119	0.9263	0.6841	0.4119	0.9179	0.6994	0.4119
KEGG	Ubiquitin mediated proteolysis	32	0.6606	0.4252	0.2809	0.6335	0.384	0.2809	0.5929	0.3057	0.2809
Hallmark	TNF-alpha Signaling via NF-kB	32	0.8258	0.7566	0.6397	0.75	0.7327	0.6397	0.7327	0.7327	0.6397
Hallmark	Adipogenesis	30	0.8924	0.7406	0.2867	0.8632	0.7046	0.2867	0.8476	0.6981	0.2867
Hallmark	Estrogen Response Early	31	0.8035	0.543	0.2623	0.7831	0.5117	0.2623	0.7601	0.4959	0.2623
Hallmark	p53 Pathway	30	0.9126	0.6624	0.2798	0.9145	0.667	0.2798	0.9048	0.667	0.2798
Hallmark	heme Metabolism	37	0.7384	0.4172	0.2481	0.6496	0.3817	0.2481	0.6095	0.3524	0.2481
