collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
GO_BP	Regulation Of Gene Expression (GO:0010468)	118	0.6453	0.5757	0.4911	0.6976	0.6564	0.4911	0.6643	0.5704	0.4911
GO_BP	Regulation Of Intracellular Signal Transduction (GO:1902531)	51	0.7717	0.6237	0.3923	0.7788	0.6493	0.3923	0.7536	0.6309	0.3923
GO_BP	Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	46	0.8024	0.6584	0.3101	0.8547	0.6544	0.3101	0.8381	0.519	0.3101
GO_BP	Regulation Of Protein Phosphorylation (GO:0001932)	39	0.4928	0.309	0.4087	0.5053	0.3	0.4087	0.4536	0.2442	0.4087
GO_BP	Translation (GO:0006412)	40	0.6745	0.6513	0.3599	0.7436	0.6749	0.3599	0.7315	0.6749	0.3599
GO_BP	Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	44	0.6837	0.5884	0.3934	0.7009	0.6364	0.3934	0.6667	0.6118	0.3934
GO_BP	Ubiquitin-Dependent Protein Catabolic Process (GO:0006511)	79	0.7801	0.5965	0.3607	0.781	0.5866	0.3607	0.756	0.528	0.3607
GO_BP	Vesicle-Mediated Transport (GO:0016192)	57	0.9115	0.6084	0.2547	0.8819	0.5278	0.2547	0.8685	0.5166	0.2547
KEGG	Alzheimer disease	50	0.6267	0.6042	0.4827	0.6538	0.6207	0.4827	0.6143	0.5561	0.4827
KEGG	Amyotrophic lateral sclerosis	37	0.8455	0.616	0.4031	0.8649	0.6111	0.4031	0.8494	0.6055	0.4031
KEGG	Focal adhesion	30	0.7671	0.7736	0.5678	0.7767	0.7775	0.5678	0.7619	0.7424	0.5678
KEGG	Human T-cell leukemia virus 1 infection	36	0.7645	0.7824	0.642	0.7724	0.7826	0.642	0.747	0.7603	0.642
KEGG	Human cytomegalovirus infection	33	0.7662	0.7606	0.6038	0.765	0.7563	0.6038	0.7458	0.7522	0.6038
KEGG	Human papillomavirus infection	44	0.7344	0.7418	0.5226	0.7853	0.7723	0.5226	0.7637	0.7404	0.5226
