collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
KEGG	Parkinson disease	75	0.7214	0.7431	0.5321	0.7313	0.7628	0.5321	0.7107	0.7628	0.5321
KEGG	Pathogenic Escherichia coli infection	48	0.7219	0.7894	0.6232	0.7719	0.7854	0.6232	0.7554	0.7854	0.6232
KEGG	Pathways in cancer	51	0.9112	0.7535	0.3153	0.9183	0.7553	0.3153	0.9089	0.7518	0.3153
KEGG	Pathways of neurodegeneration	101	0.7581	0.7307	0.501	0.7842	0.7381	0.501	0.7595	0.7247	0.501
KEGG	Phagosome	35	0.7567	0.817	0.6349	0.7762	0.818	0.6349	0.7536	0.816	0.6349
KEGG	Prion disease	76	0.636	0.7452	0.6326	0.6683	0.7703	0.6326	0.6375	0.7411	0.6326
KEGG	Protein processing in endoplasmic reticulum	41	0.7448	0.6553	0.4079	0.7858	0.6683	0.4079	0.7613	0.6301	0.4079
KEGG	Proteoglycans in cancer	38	0.7882	0.8489	0.6395	0.7975	0.8433	0.6395	0.7875	0.8545	0.6395
KEGG	RNA transport	38	0.7344	0.5754	0.1996	0.781	0.6287	0.1996	0.7601	0.6787	0.1996
KEGG	Regulation of actin cytoskeleton	54	0.7891	0.7805	0.4615	0.8088	0.7642	0.4615	0.8107	0.7856	0.4615
KEGG	Retrograde endocannabinoid signaling	31	0.6973	0.6349	0.4284	0.6736	0.632	0.4284	0.6363	0.5699	0.4284
KEGG	Salmonella infection	66	0.6979	0.8116	0.6306	0.7655	0.8293	0.6306	0.7399	0.8293	0.6306
KEGG	Shigellosis	42	0.697	0.7997	0.6139	0.7591	0.8117	0.6139	0.7321	0.7915	0.6139
KEGG	Spinocerebellar ataxia	40	0.6794	0.4661	0.2356	0.6613	0.508	0.2356	0.6387	0.4892	0.2356
KEGG	Spliceosome	49	0.7237	0.6338	0.3778	0.7676	0.6803	0.3778	0.7738	0.6852	0.3778
KEGG	Thermogenesis	41	0.7352	0.4969	0.2309	0.711	0.4717	0.2309	0.678	0.3517	0.2309
KEGG	Tight junction	39	0.8235	0.7831	0.4595	0.8526	0.784	0.4595	0.8363	0.784	0.4595
KEGG	Viral carcinogenesis	30	0.7025	0.8181	0.6653	0.7591	0.8121	0.6653	0.7452	0.8121	0.6653
KEGG	Yersinia infection	30	0.7312	0.8372	0.5864	0.7623	0.8256	0.5864	0.7625	0.8487	0.5864
Hallmark	Hypoxia	34	0.7937	0.7821	0.605	0.7895	0.7802	0.605	0.7685	0.7753	0.605
Hallmark	Mitotic Spindle	39	0.8533	0.732	0.4005	0.8456	0.7312	0.4005	0.8292	0.7189	0.4005
Hallmark	DNA Repair	33	0.7115	0.7045	0.3821	0.7682	0.7275	0.3821	0.7423	0.7258	0.3821
Hallmark	G2-M Checkpoint	33	0.8076	0.511	0.0757	0.8365	0.6384	0.0757	0.8196	0.6549	0.0757
Hallmark	Apoptosis	31	0.9262	0.8514	0.5263	0.9193	0.8307	0.5263	0.9101	0.8363	0.5263
Hallmark	Adipogenesis	55	0.8354	0.6974	0.4762	0.7853	0.6954	0.4762	0.7607	0.6821	0.4762
Hallmark	Myogenesis	38	0.8232	0.8048	0.5817	0.821	0.8059	0.5817	0.8024	0.8059	0.5817
Hallmark	Protein Secretion	47	0.9094	0.7765	0.1787	0.9177	0.7933	0.1787	0.9083	0.7933	0.1787
Hallmark	Apical Junction	36	0.8394	0.8352	0.6392	0.8681	0.8364	0.6392	0.853	0.834	0.6392
Hallmark	Complement	30	0.8776	0.8334	0.5796	0.8782	0.8393	0.5796	0.8649	0.8668	0.5796
Hallmark	mTORC1 Signaling	65	0.8788	0.7018	0.3399	0.8841	0.7514	0.3399	0.8708	0.738	0.3399
Hallmark	E2F Targets	38	0.667	0.7697	0.3861	0.7372	0.8039	0.3861	0.7071	0.7955	0.3861
Hallmark	Myc Targets V1	99	0.7587	0.6641	0.2265	0.7874	0.6911	0.2265	0.7655	0.6887	0.2265
Hallmark	Epithelial Mesenchymal Transition	40	0.772	0.8536	0.7431	0.7842	0.847	0.7431	0.7685	0.847	0.7431
Hallmark	Xenobiotic Metabolism	48	0.7708	0.7002	0.3766	0.7927	0.67	0.3766	0.769	0.6637	0.3766
Hallmark	Fatty Acid Metabolism	57	0.7153	0.6781	0.3757	0.7217	0.6918	0.3757	0.6899	0.6101	0.3757
Hallmark	Oxidative Phosphorylation	69	0.5558	0.6235	0.6233	0.4567	0.5247	0.6233	0.3946	0.5074	0.6233
Hallmark	Glycolysis	45	0.7242	0.661	0.4905	0.7393	0.6911	0.4905	0.7095	0.6456	0.4905
Hallmark	heme Metabolism	32	0.6826	0.5358	0.347	0.7265	0.5743	0.347	0.6952	0.505	0.347
Hallmark	Coagulation	32	0.7876	0.7958	0.5001	0.7991	0.811	0.5001	0.7929	0.8316	0.5001
