groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
CYP39A1	SMNDC1	0.484262	0.476238
LSM7	PDSS1	0.484619	0.479807
NUCB2	KCTD9	0.485638	0.480036
PRELP	NAA10	0.486003	0.480092
PCK2	ZNF444	0.486281	0.480733
CAPG	PLCG2	0.486463	0.480843
FBXO6	ZFC3H1	0.487237	0.481301
UCHL3	LRRC8A	0.487388	0.482276
TIMM8A	CCDC32	0.487898	0.482871
KPNA3	ZRANB1	0.488468	0.483061
GMPS	CASR	0.489055	0.483482
NES	RLIM	0.489564	0.48354
THUMPD1	ATP9B	0.49069	0.483737
APEX1	BIN3	0.49101	0.48384
SPTBN2	TMEM102	0.491477	0.486923
RAP1GDS1	TXNDC11	0.491761	0.487127
RSU1	SLC5A9	0.492133	0.48855
PROM2	IBTK	0.492669	0.489014
CTPS2	HMGN5	0.492918	0.490207
BST1	SSH3	0.493029	0.490325
RAI14	COPZ2	0.493215	0.490459
KRT7	HTT	0.494079	0.490506
ELAVL1	GZF1	0.494258	0.491643
MTAP	MRRF	0.494954	0.492723
TMEM65	GFER	0.49496	0.493449
COL6A1	HOXB6	0.496116	0.494252
NUDT13	SPSB2	0.49616	0.49432
TMEM43	ATP13A2	0.496478	0.49486
VARS2	WIPI1	0.496581	0.494976
FUBP1	PPP6R2	0.499824	0.49606
ACACB	MCM3AP	0.501228	0.496164
PRPSAP2	TAF8	0.50156	0.496787
KIF13B	CUL7	0.501773	0.496858
ATIC	NGEF	0.502222	0.497119
HS1BP3	USP15	0.503504	0.497131
TMED5	RILPL1	0.5038	0.497185
SFXN5	TRIO	0.5055	0.497187
MTMR12	RNF216	0.505542	0.49742
PPP1R12A	RTKN	0.50609	0.497513
BTF3L4	SOCS7	0.507354	0.497986
CAV1	DIDO1	0.507539	0.498977
LYPLAL1	TRIM2	0.508554	0.499829
TBCD	GABPA	0.509681	0.5008
ARPC5L	AGFG2	0.509684	0.500943
DDAH2	ARRDC2	0.511252	0.501004
CD34	SUPV3L1	0.511691	0.50137
CBX5	SRD5A1	0.512429	0.501555
TK2	PPIP5K1	0.513847	0.503393
PTPN6	XPO6	0.514438	0.504224
FUBP3	ZDHHC1	0.515124	0.50477
PGAM5	FBXO25	0.517534	0.505724
PPP2R2A	LARP1B	0.517784	0.507619
SORBS1	LMAN2L	0.517985	0.50834
APOH	FAM210A	0.518612	0.508656
PNPT1	ALG5	0.519685	0.509569
CA3	OCLN	0.519772	0.509593
HPGD	ARHGAP21	0.520121	0.509772
EXOC4	ARNT2	0.520687	0.510419
NAAA	RING1	0.521017	0.510721
DHDH	SLC31A2	0.521283	0.511483
PGM3	DPAGT1	0.523079	0.512092
XDH	EXTL3	0.523108	0.512674
PPM1F	NFX1	0.523514	0.513158
RABGAP1	CDC42EP4	0.524167	0.513837
CIAPIN1	DEDD2	0.524252	0.514957
MAP4	FEM1B	0.52427	0.515153
MCAM	AJUBA	0.52465	0.515215
TMPO	GFM2	0.525292	0.515288
ALG2	RHBDF1	0.525423	0.515469
DENR	MON2	0.525619	0.515692
TNKS1BP1	JADE2	0.525753	0.51591
BCL2L13	MAP2K5	0.525989	0.515912
FAM98B	EEFSEC	0.525996	0.516149
LYRM4	VMA22	0.526212	0.516767
PTGR1	INPP5K	0.526239	0.516926
SNRPD1	GTPBP4	0.526359	0.517518
BCAT1	CDKN1B	0.526407	0.518114
FXN	SLC25A38	0.526704	0.518594
UBFD1	ITPR2	0.527307	0.519258
BIN1	TBC1D10B	0.527494	0.522547
AIMP1	TIMM21	0.527715	0.522876
TTLL12	LTN1	0.528098	0.523344
PLEC	PHLDA2	0.528455	0.523726
PIN1	UBE3A	0.529028	0.524877
CA5B	SUCO	0.529498	0.526052
ILF3	ZDHHC3	0.529827	0.527941
HSPG2	GCC2	0.530155	0.528197
DNAJA4	RAB3IL1	0.530446	0.5286
TFAM	SSBP4	0.530745	0.529042
EFHD2	FIG4	0.531237	0.530923
PRDX4	APPL2	0.533369	0.532611
ARHGAP17	SAV1	0.531815	0.532949
PHYHD1	SLC22A17	0.536326	0.533091
PHYHIPL	ITSN2	0.53733	0.533119
CISD2	INPP5A	0.537567	0.53561
COQ4	AMMECR1L	0.53936	0.535948
