a_cortex	a_med	c_cortex	c_med	n_cortex	n_med
0.88574	1.06733	0.92154	0.75986	0.96115	1.40464
0.7409	0.99036	0.85263	0.73001	0.86895	1.35664
0.14803	0.78944	0.42776	0.61153	0.34605	1.29092
0.4803	0.97439	0.67545	0.54104	0.71108	1.80095
0.57604	0.9572	0.91863	0.73379	0.62707	1.30446
0.39728	1.12563	0.8406	0.72382	0.47262	1.55513
0.56533	0.52839	0.88404	0.68569	0.63948	0.7706
0.48056	1.08469	0.7621	0.7926	0.63057	1.36852
0.37232	0.93046	0.736	0.69109	0.50586	1.34636
0.83132	1.45738	0.81502	0.65081	1.02	2.23933
0.35856	0.71257	0.80843	0.80935	0.44352	0.88042
0.48914	1.18853	0.7992	0.67857	0.61204	1.75153
0.58053	0.64134	0.851	0.72329	0.68217	0.88669
0.47103	0.68304	0.83952	0.75328	0.56107	0.90676
0.626	1.09398	0.83592	0.74483	0.74887	1.46876
0.75339	1.11697	0.96501	0.79069	0.7807	1.41265
0.28504	0.77433	0.59292	0.77373	0.48074	1.00078
0.48362	1.16443	0.83828	0.74664	0.57692	1.55956
0.44518	1.17517	0.87832	0.76733	0.50685	1.5315
0.40239	0.69739	0.82236	0.82792	0.48931	0.84234
0.69243	1.39407	0.91525	0.75915	0.75655	1.83637
0.39141	0.80193	0.82056	0.78212	0.477	1.02534
0.42851	0.9172	0.78653	0.80698	0.54481	1.13658
0.38291	0.68996	0.74911	0.76496	0.51115	0.90195
0.48698	0.38668	0.83585	0.73341	0.58262	0.52723
0.42514	1.14504	0.75949	0.67059	0.55977	1.70751
0.29816	0.92942	0.70804	0.76647	0.4211	1.2126
0.55945	1.11232	0.8496	0.62945	0.65849	1.76713
0.41978	1.01847	0.54398	0.6305	0.77168	1.61533
0.39772	1.00476	0.79819	0.74236	0.49828	1.35347
0.70174	1.0826	0.89187	0.68282	0.78682	1.58548
0.78794	1.13614	0.88206	0.73777	0.89329	1.53996
0.50968	1.22424	0.91617	0.79458	0.55632	1.54074
0.28415	1.09749	0.69887	0.74011	0.40659	1.48287
0.50095	1.00186	0.86952	0.78203	0.57613	1.28111
0.79355	0.95593	0.91194	0.77857	0.87018	1.22781
0.51466	1.27018	0.85121	0.70638	0.60462	1.79815
0.38331	0.48834	0.66987	0.71158	0.57222	0.68627
0.61189	0.82758	0.90858	0.8389	0.67345	0.98651
0.38587	1.07325	0.72677	0.69731	0.53094	1.53912
0.45069	1.09188	0.59505	0.56053	0.7574	1.94793
0.21803	0.93899	0.6159	0.82854	0.35399	1.13331
0.7085	1.09332	0.87931	0.77619	0.80575	1.40857
0.59477	1.07054	0.89377	0.7262	0.66546	1.47416
0.38052	1.12165	0.81916	0.64366	0.46452	1.74262
0.36181	1.1278	0.80328	0.76814	0.45042	1.46821
0.75098	1.10142	0.92553	0.79564	0.81141	1.38432
0.63667	0.99921	0.87598	0.75509	0.7268	1.3233
