gene	cat_CKD12	cat_CKD34	cat_med_CKD12	cat_med_CKD34	mouse_5D	mouse_2W	mouse_3W	IRI_2h	IRI_4h	IRI_24h	IRI_48h	IRI_72h	IRI_7d	IRI_14d	IRI_28d	IRI_12mo
IER3IP1	0.17733818953651692	0.08346414478982034	-0.07229147651739076	-0.09920651200064334	0.21814047320381702	0.7563319074597232	0.7128495574287164	-0.05894197258862777	-0.13581912527695295	0.18422677846263902	0.45473725922470587	0.2881849332996551	0.2600965768895178	0.09249018449005142	0.11348754300196706	0.19089532074560012
IER5	0.5742701475724359	0.6098017643478513	0.825097661586828	0.7420051495742821	0.9548966970805322	2.4907713469475574	1.5599862504510327	1.594027126229138	2.006316654775456	1.593834461408429	1.372847411258559	1.4057090985670007	1.856470203169267	1.6686369677461608	1.281868366086547	0.7797194488640686
IER5L	0.7576022621888856	0.955139879710226	1.1161933548734377	1.1012773930726891	0.15006664895512367	2.0778448007940744	1.6403941780364752	0.520573576622875	0.5836240997035489	1.9204763027381349	1.328344883988346	0.7592132754225323	1.3694268733471526	1.2301469418684245	0.7651777660554857	0.6028924582782285
IFFO1	0.8073668960675202	0.693994525004233	0.7893839818819535	0.584959072227317	-0.08988005933714427	0.41802467974290036	0.2854519096945054	0.19029127141481128	-0.036695573658475755	0.4851681454471073	0.11879427969763579	0.11800017664781626	0.6506897429193821	0.43407949307292704	0.12137065286439674	0.15416995778903186
IFFO2	0.21414442651941368	0.3510866192826647	0.2620286789312791	0.465093499360977	0.06658934223567348	0.9553724296927633	0.4051748305569629	0.3907776287367667	0.9333813200915871	0.6895960816106553	0.4145785867720876	0.32343945421149944	0.516799305206261	0.9332952353266503	0.4655129368379297	0.2995641076204839
IFI16	1.602489514262365	1.7580908531764075	1.4490090353173515	1.2158015678284886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI202B	NA	NA	NA	NA	0.0	0.0	0.008106559731804297	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI203	NA	NA	NA	NA	0.1049750961387157	1.3292572368545967	0.3604316497637998	-0.23052675375375276	-0.15241317406470256	0.3160786579331136	-0.18422311744790698	-0.10313653703131398	0.589427011660578	0.11016075568607886	1.0451492894443706	0.497770922955624
IFI204	NA	NA	NA	NA	0.5606747144917356	2.3472384154124972	1.1810657145286396	-0.4072728635452272	0.47375937943022906	0.4641438453480913	0.5550299637651355	0.7757459527752644	1.5220552281206583	0.6579590677930465	1.4801979693501894	0.7795651299967743
IFI205	NA	NA	NA	NA	0.4239530099763052	1.903960030668458	0.815450497107516	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI206	NA	NA	NA	NA	0.07116006064415106	0.8336883400340244	0.13234951898748246	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI207	NA	NA	NA	NA	0.24675022835295718	2.1744879302429094	1.1286404676421202	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI209	NA	NA	NA	NA	0.29458955742230447	1.7757273759827195	0.5594327309871538	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI211	NA	NA	NA	NA	0.8573615846345144	2.825856248763433	1.3292076591286996	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI213	NA	NA	NA	NA	0.026679564032597997	0.857046227928274	0.11284737235256292	NA	NA	NA	NA	NA	NA	NA	NA	NA
IFI27	NA	NA	NA	NA	0.49353071393891845	1.8140473833061148	1.4788912999587915	-0.39898951365473945	-0.15880496610787365	0.3303206953080027	0.3684572706328355	0.07721557887167396	0.7453080318006728	0.38738773843397656	0.5701761215745718	0.44503833225153855
IFI27L2A	NA	NA	NA	NA	0.44829143150240114	2.713329010965485	1.0213745128615215	0.19305596026098826	0.2662641569550246	1.1621092244055995	1.4451180820301173	1.0982876516112072	2.291559944246911	2.1985720445395045	2.231058585301725	1.3234442479253024
