	cat_ctx_control	podtreck_control	iri_young_sham
2610035D17RIK	NA	1.4930532622295587	2.885474915504057
2610044O15RIK8	NA	1.3242298891768491	2.3795087546252254
2610301B20RIK	NA	2.2498482350560374	3.118690953492989
2610306M01RIK	NA	2.1359110601733406	2.643926008182752
2610507B11RIK	NA	4.785437321592961	6.148464381953592
2610507I01RIK	NA	1.4777770935941952	2.301891767293331
2610524H06RIK	NA	NA	1.482912241409424
2700029M09RIK	NA	NA	3.8306987344337404
2700033N17RIK	NA	0.6126416697796363	0.726057957514603
2700038G22RIK	NA	NA	0.6854816807103288
2700046G09RIK	NA	1.4716596408807463	1.6632493725893387
2700060E02RIK	NA	NA	6.148692017994843
2700081O15RIK	NA	0.9472089894749597	2.023279389443895
2700089E24RIK	NA	NA	5.155138788643318
2700094K13RIK	NA	NA	3.9328618661434636
2700097O09RIK	NA	0.9428993232402464	1.729540401032881
2700099C18RIK	NA	0.04667503246825464	NA
2810001G20RIK	NA	1.6109936888360032	2.310381976416135
2810002D19RIK	NA	1.4247522450200585	1.5121212190028805
2810004N23RIK	NA	2.1796961026811084	4.253812400883388
2810006K23RIK	NA	1.670176868957582	2.7353743058068556
2810008D09RIK	NA	NA	2.7669546877806717
2810013P06RIK	NA	2.3300849346422954	3.0815294895571
2810021J22RIK	NA	1.1091248758563277	1.410437899179122
2810025M15RIK	NA	2.9207925188061807	3.7079116433469497
2810029C07RIK	NA	1.4663738305357974	2.422177282537638
2810030D12RIK	NA	NA	2.6528895163168147
2810039B14RIK	NA	NA	1.1086979727207467
2810402E24RIK	NA	1.395508535079068	1.8337127918127145
2810403A07RIK	NA	NA	4.373380292468696
2810405F17RIK	NA	0.5056023936646105	0.9676628052016999
2810408A11RIK	NA	0.5033271717993447	NA
2810408M09RIK	NA	NA	2.9273187132948713
2810410L24RIK	NA	0.755902736682733	1.792348934627465
2810414N06RIK	NA	1.2540120866033682	1.608948210020266
2810428I15RIK	NA	NA	5.500636392329649
2810474O19RIK	NA	NA	1.0029636372987345
2900005J15RIK	NA	NA	1.188505138921898
2900052L18RIK	NA	0.7072995191456255	2.1696837874961488
2900076A07RIK	NA	0.8087067588858737	1.673031575046099
2900093K20RIK	NA	1.3800064433268828	2.3516720460584706
3010003L21RIK	NA	0.7686519114108737	1.001683277318471
3010026O09RIK	NA	NA	2.6737584498094917
3110001I22RIK	NA	1.7817699966496907	1.0334234306584225
3110002H16RIK	NA	NA	2.8154812342065196
3110043O21RIK	NA	NA	2.205654633400278
3110045C21RIK	NA	3.168632181078744	3.1487833612986815
3110052M02RIK	NA	NA	1.2129871557517993
3110053B16RIK	NA	0.5284551133824618	1.3718204063379165
3110056K07RIK	NA	0.8179851357541931	2.4985939069986682
3110057O12RIK	NA	NA	2.5485651190818976
3110062M04RIK	NA	NA	0.8865843477375197
3110082I17RIK	NA	0.7343465109456949	2.0170817444138014
3110083C13RIK	NA	NA	0.8390589313490288
3110099E03RIK	NA	NA	0.6492195248646433
3300002I08RIK	NA	0.8673604257776334	NA
3300005D01RIK	NA	NA	1.0135686786060132
3632451O06RIK	NA	NA	2.599596305834522
3830406C13RIK	NA	2.6208973460555747	3.7417458560858083
4430402I18RIK	NA	NA	1.5856241934683417
4632404H12RIK	NA	NA	1.475724963231263
4632415L05RIK	NA	1.7598186676405643	3.028516089907112
4632428N05RIK	NA	NA	1.1973356945779103
4732440D04RIK	NA	NA	0.8910046399186132
4732463B04RIK	NA	0.9953613706268417	1.2872818479906478
4732465J04RIK	NA	0.7764168487156359	0.961898354177874
4732487G21RIK	NA	NA	0.9418252590217165
4732491K20RIK	NA	0.8752189271883758	1.3071195809275131
4831440E17RIK	NA	NA	0.8252372870075856
4833403J16RIK	NA	1.6637719893481078	NA
