gene	cat_CKD34	mouse_2W
ABCC6	0.25823504967836886	0.05995863078385986
ABCC9	0.3237454564333555	0.07908571082480387
ABCD1	0.23826170742015637	0.04876216294510828
ABCD2	NA	0.3059178876899682
ABCD3	0.29307668594587877	0.06164986639687717
ABCD4	0.13480827963020692	0.12326300032788093
ABCE1	0.17753198790840422	0.060952672879315516
ABCF1	0.1286299799542036	0.06094955057186029
ABCF2	0.13972365711751378	0.06136486522490806
ABCF3	0.13604261094130035	0.05806185756706384
ABCG1	0.4197280550280387	0.0642108832612982
ABCG2	0.424779727525997	0.0507380747010759
ABCG4	0.4762180650700057	NA
ABHD1	0.8778704341073784	0.07654978077357835
ABHD10	0.16599196615951953	0.06752044229834256
ABHD11	0.1902827097766053	0.0693126045599187
ABHD11OS	NA	0.08917424268950655
ABHD12	0.1513290654852765	0.0648036856498891
ABHD13	0.1803309748300807	0.05933780766252785
ABHD14A	NA	0.07012417295503336
ABHD14B	0.23998180088936963	0.10303738221474983
ABHD15	0.2648048261854543	0.13863909252807005
ABHD16A	0.12100631147930059	0.06050145447404174
ABHD17A	0.15810936342058401	0.09149266090957117
ABHD17B	0.14624637918711308	0.0804666787982735
ABHD17C	0.15564493658093823	0.058336085168014466
ABHD18	0.13230043137866151	0.0685403521700189
ABHD2	0.3354309472131608	0.07572671033888899
ABHD3	0.27133373257055216	0.0709266977130838
ABHD4	0.20996366452190984	0.053175080627522714
ABHD5	0.6317495421479025	0.0668262981407336
ABHD6	0.2608126526362733	0.05202933866443615
ABHD8	0.33008391417906086	0.0704546514144372
ABI1	0.11887787601532712	0.047437599254248584
ABI2	0.2032272103746103	0.07392710897172616
ABI3	0.2797611399107097	0.0578343038946034
ABI3BP	0.44785396004068456	0.06929691914847244
ABITRAM	0.1689953394380408	0.05919322395228512
ABL1	0.12994248773570863	0.05381885034819704
ABL2	0.16230571976949001	0.05437277794584132
ABLIM1	0.15756756764090019	0.06248494885461382
ABLIM2	0.22729882341436555	NA
ABLIM3	0.2897781619681758	0.05933586598779115
ABR	0.23330818910042542	0.05085393900843214
ABRACL	0.26132477383664227	0.0675160338189393
ABRAXAS1	NA	0.09835505217148796
ABRAXAS2	0.13702692418664747	0.062603622357239
ABT1	0.13783411861731948	0.06961576344623621
ABTB1	0.21881360658718468	0.06764487195185515
ABTB2	0.2771763630020494	0.08649174726185206
ACAA1	0.3239682954277094	NA
ACAA1A	NA	0.08367065182338959
ACAA1B	NA	0.1112459149889639
ACAA2	0.4240117091147553	0.07473416877249037
ACACA	0.36010311701385994	0.18477291701506365
ACACB	0.6577335624874634	0.2812159934542386
ACAD10	NA	0.053266376117304476
ACAD11	NA	0.08942975123022268
ACAD12	NA	0.05214848662942129
ACAD8	0.20453524391888753	0.0661707164003731
ACAD9	0.3183187188430982	0.07037868996350855
ACADL	0.39894486521371314	0.06323483493324097
ACADM	0.3291576997100228	0.08154403421971759
ACADS	0.22431630590149584	0.04862537442859948
ACADSB	0.4187973407361985	0.08236517498374393
ACADVL	0.3466546792587446	0.07694458580368656
ACAP1	0.40698006809969933	NA
ACAP2	0.14704343477382048	0.07638392923958767
ACAP3	0.18839983850412362	0.06431070963844909
ACAT1	0.32128530389502746	0.07325427453657468
