a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass
cat_med_CKD34	IRI_4h	0.255769	0.23444	cross_species	cat	iri	False	
cat_med_CKD34	IRI_24h	0.358945	0.341131	cross_species	cat	iri	False	
cat_med_CKD34	IRI_48h	0.441559	0.434272	cross_species	cat	iri	False	
cat_med_CKD34	IRI_72h	0.433522	0.403891	cross_species	cat	iri	False	
cat_med_CKD34	IRI_7d	0.467259	0.521585	cross_species	cat	iri	False	
cat_med_CKD34	IRI_14d	0.4146	0.441989	cross_species	cat	iri	False	
cat_med_CKD34	IRI_28d	0.337859	0.30803	cross_species	cat	iri	False	
cat_med_CKD34	IRI_12mo	0.487854	0.556322	cross_species	cat	iri	False	
mouse_5D	mouse_2W	0.692309	0.619118	within_dataset	podtreck	podtreck	True	
mouse_5D	mouse_3W	0.695756	0.603764	within_dataset	podtreck	podtreck	True	
mouse_5D	IRI_2h	0.064628	-0.029695	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_4h	0.349126	0.31306	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_24h	0.629521	0.557009	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_48h	0.636681	0.555632	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_72h	0.705762	0.637891	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_7d	0.579855	0.471986	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_14d	0.357767	0.238247	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_28d	0.493908	0.408312	same_species_diff_dataset	podtreck	iri	False	
mouse_5D	IRI_12mo	0.417148	0.320256	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	mouse_3W	0.953867	0.904806	within_dataset	podtreck	podtreck	True	
mouse_2W	IRI_2h	0.105985	0.148244	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_4h	0.298922	0.333183	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_24h	0.80234	0.732794	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_48h	0.716239	0.687332	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_72h	0.767529	0.771018	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_7d	0.835981	0.782224	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_14d	0.685397	0.639175	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_28d	0.826006	0.7823	same_species_diff_dataset	podtreck	iri	False	
mouse_2W	IRI_12mo	0.646445	0.595921	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_2h	0.107778	0.122257	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_4h	0.299514	0.312144	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_24h	0.778685	0.669874	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_48h	0.75277	0.731293	same_species_diff_dataset	podtreck	iri	False	
mouse_3W	IRI_72h	0.785043	0.775252	same_species_diff_dataset	podtreck	iri	False	
