pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	70	1.0	0.7629	0.5761
Positive Regulation Of Translation (GO:0045727)	33	1.0	0.8693	0.6038
Post-translational Protein Modification	281	1.0	0.8114	0.5406
Pperoxisome	44	1.0	0.9115	0.3379
Prion disease	99	1.0	0.8696	0.6607
Processing of Capped Intron-Containing Pre-mRNA	79	1.0	0.6413	0.155
Programmed Cell Death	74	1.0	0.8	0.4774
Propanoate metabolism	30	1.0	0.9504	0.8082
Proteasomal Protein Catabolic Process (GO:0010498)	45	0.9167	0.6041	-0.0446
Proteasome	32	0.9167	0.8822	0.2534
Proteasome Assembly	33	0.9167	0.8662	0.2523
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	57	1.0	0.6471	-0.0129
Protein Folding	33	0.6667	0.7367	0.6832
Protein Homooligomerization (GO:0051260)	35	1.0	0.8862	0.4824
Protein Localization	74	1.0	0.8972	0.5498
Protein Localization (GO:0008104)	88	1.0	0.8295	0.3618
Protein Localization To Cell Periphery (GO:1990778)	30	1.0	0.7762	0.547
Protein Localization To Membrane (GO:0072657)	45	1.0	0.7743	0.4902
Protein Localization To Organelle (GO:0033365)	32	1.0	0.9196	0.7106
Protein Modification By Small Protein Conjugation (GO:0032446)	43	1.0	0.8916	0.2548
Protein Modification Process (GO:0036211)	86	1.0	0.8227	0.6449
Protein Phosphorylation (GO:0006468)	42	0.9167	0.6967	0.4361
Protein Secretion	54	1.0	0.799	0.2842
Protein Stabilization (GO:0050821)	59	1.0	0.8516	0.5387
Protein Transport (GO:0015031)	85	0.8056	0.853	0.6912
Protein Ubiquitination (GO:0016567)	32	1.0	0.8667	0.1893
Protein processing in endoplasmic reticulum	59	1.0	0.6993	0.3507
Protein-Containing Complex Assembly (GO:0065003)	74	0.8333	0.8915	0.6626
Proteoglycans in cancer	47	0.7222	0.8357	0.768
Proteolysis (GO:0006508)	53	1.0	0.8112	0.4629
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	32	0.9167	0.9588	0.7625
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	32	0.9167	0.9588	0.7625
Purine metabolism	32	1.0	0.7937	0.2897
Pyruvate metabolism	33	1.0	0.9015	0.4907
RAF MAP Kinase Cascade	60	0.5278	0.7418	0.7772
RHO GTPase Cycle	109	1.0	0.8878	0.533
RHO GTPase Effectors	78	0.9167	0.8169	0.6522
RNA Polymerase II Transcription	126	0.9722	0.8602	0.5516
RNA Processing (GO:0006396)	48	1.0	0.5452	0.2312
RNA Splicing (GO:0008380)	30	0.9444	0.6088	0.3952
RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	1.0	0.6522	0.2742
RNA transport	46	1.0	0.6786	0.249
Rap1 signaling pathway	31	0.5	0.8099	0.7972
Receptor-Mediated Endocytosis (GO:0006898)	38	1.0	0.8588	0.6088
Regulation Of Angiogenesis (GO:0045765)	35	0.9444	0.6055	0.5297
Regulation Of Apoptotic Process (GO:0042981)	131	1.0	0.8936	0.4434
Regulation Of Autophagy (GO:0010506)	47	1.0	0.7926	0.1437
Regulation Of Cell Migration (GO:0030334)	70	0.9722	0.822	0.6845
Regulation Of Cell Population Proliferation (GO:0042127)	84	1.0	0.8859	0.5038
Regulation Of Cytoskeleton Organization (GO:0051493)	31	0.9444	0.8108	0.623
Regulation Of DNA-templated Transcription (GO:0006355)	126	1.0	0.8916	0.5809
Regulation Of GTPase Activity (GO:0043087)	31	1.0	0.7864	0.4392
Regulation Of Gene Expression (GO:0010468)	116	1.0	0.8125	0.5712
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	32	1.0	0.8935	0.4231
Regulation Of Macroautophagy (GO:0016241)	30	1.0	0.8581	0.4148
Regulation Of Nucleic Acid-Templated Transcription (GO:1903506)	33	1.0	0.791	0.3918
Regulation Of Organelle Organization (GO:0033043)	31	1.0	0.8087	0.5116
Regulation Of Programmed Cell Death (GO:0043067)	40	1.0	0.9448	0.5502
Regulation Of Protein Catabolic Process (GO:0042176)	32	1.0	0.8222	0.3166
Regulation Of Protein Phosphorylation (GO:0001932)	36	1.0	0.8066	0.4019
Regulation Of Translation (GO:0006417)	63	1.0	0.8778	0.2674
Regulation of APC C Activators Between G1 S and Early Anaphase	30	0.8889	0.8257	-0.3244
Regulation of Activated PAK-2p34 by Proteasome Mediated Degradation	30	0.8889	0.8237	-0.4238
Regulation of Apoptosis	31	0.8889	0.8681	-0.1782
Regulation of Expression of SLITs and ROBOs	98	0.8889	0.701	0.5247
Regulation of Mitotic Cell Cycle	30	0.8889	0.8257	-0.3244
Regulation of PTEN Stability and Activity	31	0.8889	0.8209	-0.4266
Regulation of RAS by GAPs	30	0.8889	0.8468	-0.3374
Regulation of RUNX2 Expression and Activity	30	0.9167	0.8889	-0.2146
Regulation of RUNX3 Expression and Activity	30	0.8889	0.815	-0.1295
Regulation of actin cytoskeleton	62	0.6667	0.7617	0.6456
Regulation of mRNA Stability by Proteins That Bind AU-rich Elements	44	0.9722	0.793	-0.2483
Respiratory Electron Transport	65	1.0	0.958	0.6822
Response of EIF2AK4 (GCN2) to Amino Acid Deficiency	64	0.7222	0.8169	0.6346
Response to Elevated Platelet Cytosolic Ca2+	44	0.8056	0.8945	0.772
Retrograde endocannabinoid signaling	40	1.0	0.9471	0.4833
Ribosomal Scanning and Start Codon Recognition	46	1.0	0.7808	0.5456
Ribosome	66	0.8333	0.7598	0.612
S Phase	36	0.8889	0.824	-0.23
SARS-CoV Infections	117	1.0	0.7345	0.3716
SARS-CoV-1 Infection	56	0.9444	0.7419	0.5057
SARS-CoV-1-host Interactions	47	0.9444	0.7326	0.5223
SARS-CoV-2 Infection	83	1.0	0.7558	0.373
SARS-CoV-2 Modulates Host Translation Machinery	31	0.7222	0.8131	0.709
SARS-CoV-2-host Interactions	61	1.0	0.8322	0.3338
SRP-dependent Cotranslational Protein Targeting to Membrane	73	0.75	0.8052	0.6144
Salmonella infection	79	1.0	0.8213	0.6715
Selective Autophagy	32	1.0	0.848	0.6574
Selenoamino Acid Metabolism	74	1.0	0.8615	0.5292
Selenocysteine Synthesis	62	0.7222	0.8165	0.6536
Sensory Perception	38	1.0	0.8054	0.3404
Separation of Sister Chromatids	52	0.75	0.7679	0.59
Shigellosis	51	1.0	0.8475	0.6596
Signaling by ALK Fusions and Activated Point Mutants	30	0.7778	0.7854	0.7386
Signaling by ALK in Cancer	30	0.7778	0.7854	0.7386
Signaling by GPCR	35	1.0	0.8485	0.5356
Signaling by Hedgehog	42	0.6389	0.741	0.6523
Signaling by Interleukins	100	1.0	0.8237	0.6444
Signaling by NOTCH	41	0.9444	0.842	0.117
Signaling by NOTCH4	31	0.8889	0.7849	-0.3302
Signaling by Nuclear Receptors	37	1.0	0.8036	0.1628
Signaling by ROBO Receptors	112	1.0	0.7292	0.5833
Signaling by Receptor Tyrosine Kinases	98	1.0	0.8459	0.756
Signaling by Rho GTPases	166	1.0	0.8579	0.6029
Signaling by Rho GTPases, Miro GTPases and RHOBTB3	170	1.0	0.8584	0.5971
Signaling by WNT	63	1.0	0.7786	0.0039
Signaling by the B Cell Receptor (BCR)	37	0.9444	0.8335	0.036
Spinocerebellar ataxia	44	0.9167	0.5405	0.1456
Spliceosome	52	0.9167	0.6533	0.2327
Supramolecular Fiber Organization (GO:0097435)	60	0.8056	0.8631	0.7866
Synthesis of DNA	33	0.8889	0.8378	-0.2942
TCF Dependent Signaling in Response to WNT	41	0.8889	0.631	-0.075
TCR Signaling	35	0.8056	0.8801	0.4752
TNFR2 Non-Canonical NF-kB Pathway	31	0.8889	0.7933	-0.4339
