collection	pathway	n_genes	auc[all pairs (旧版と同じ制限なし)]	within_med[all pairs (旧版と同じ制限なし)]	cross_med[all pairs (旧版と同じ制限なし)]	auc[exclude shared controls]	within_med[exclude shared controls]	cross_med[exclude shared controls]	auc[exclude shared cohort]	within_med[exclude shared cohort]	cross_med[exclude shared cohort]
Reactome	Hedgehog 'On' State	32	0.6884	0.3417	-0.0506	0.6843	0.4566	-0.0506	0.6685	0.4566	-0.0506
Reactome	Hedgehog Ligand Biogenesis	31	0.6803	0.3676	-0.1389	0.6859	0.4865	-0.1389	0.6762	0.4865	-0.1389
Reactome	Hemostasis	118	0.724	0.7845	0.6271	0.7457	0.7833	0.6271	0.7333	0.7833	0.6271
Reactome	Hh Mutants Abrogate Ligand Secretion	30	0.6832	0.3684	-0.1431	0.6875	0.4871	-0.1431	0.6774	0.4871	-0.1431
Reactome	Hh Mutants Are Degraded by ERAD	30	0.6832	0.3684	-0.1431	0.6875	0.4871	-0.1431	0.6774	0.4871	-0.1431
Reactome	Host Interactions of HIV Factors	58	0.7648	0.4944	0.0107	0.7778	0.5614	0.0107	0.7542	0.5614	0.0107
Reactome	Infectious Disease	295	0.7185	0.7339	0.4565	0.7714	0.7619	0.4565	0.7488	0.7687	0.4565
Reactome	Influenza Infection	83	0.673	0.8233	0.4281	0.7473	0.8473	0.4281	0.7339	0.8508	0.4281
Reactome	Influenza Viral RNA Transcription and Replication	72	0.662	0.8755	0.5197	0.7201	0.8923	0.5197	0.7315	0.898	0.5197
Reactome	Innate Immune System	272	0.8087	0.7398	0.3661	0.836	0.749	0.3661	0.8173	0.744	0.3661
Reactome	Interferon Signaling	54	0.8076	0.7688	0.4569	0.8419	0.808	0.4569	0.825	0.808	0.4569
Reactome	Interleukin-1 Family Signaling	42	0.7442	0.6427	0.3315	0.7543	0.6803	0.3315	0.7357	0.6803	0.3315
Reactome	Interleukin-1 Signaling	38	0.7225	0.5469	0.1428	0.7244	0.5996	0.1428	0.7161	0.5996	0.1428
Reactome	Interleukin-12 Family Signaling	34	0.7613	0.819	0.5626	0.8034	0.8178	0.5626	0.781	0.8109	0.5626
Reactome	Interleukin-12 Signaling	31	0.7821	0.8204	0.544	0.8226	0.8221	0.544	0.8024	0.7996	0.544
Reactome	Intra-Golgi and Retrograde Golgi-to-ER Traffic	53	0.8061	0.7562	0.504	0.8397	0.7565	0.504	0.8268	0.7574	0.504
Reactome	Intracellular Signaling by Second Messengers	59	0.752	0.6862	0.3595	0.766	0.6844	0.3595	0.7411	0.6844	0.3595
Reactome	KEAP1-NFE2L2 Pathway	49	0.7011	0.4297	0.1613	0.7254	0.5215	0.1613	0.6964	0.4367	0.1613
Reactome	L13a-mediated Translational Silencing of Ceruloplasmin Expression	82	0.6687	0.8827	0.5783	0.7233	0.9167	0.5783	0.7321	0.9178	0.5783
Reactome	L1CAM Interactions	38	0.9025	0.7988	0.4406	0.9108	0.7687	0.4406	0.9042	0.7942	0.4406
Reactome	Leishmania Infection	42	0.735	0.7871	0.5719	0.7885	0.7904	0.5719	0.7643	0.7838	0.5719
Reactome	M Phase	93	0.7159	0.7284	0.4585	0.766	0.7494	0.4585	0.7476	0.7529	0.4585
Reactome	MAPK Family Signaling Cascades	67	0.6415	0.7583	0.6196	0.6763	0.8066	0.6196	0.6899	0.8263	0.6196
