collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	IRI_14d	0.4415	0.7396	0.2981	0.1012	0.781	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	IRI_28d	0.4801	0.5914	0.1113	0.0234	0.7997	False
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	IRI_12mo	-0.4534	0.7315	1.185	-0.0106	0.7887	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	cat_CKD12	0.8249	0.2672	-0.5577	0.7733	0.97	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	cat_CKD34	1.0	0.6511	-0.3489	1.0	1.0	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	cat_med_CKD12	0.8243	0.6481	-0.1762	0.5473	0.953	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	cat_med_CKD34	0.0535	0.6088	0.5554	0.6682	0.9477	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	mouse_5D	-0.5518	0.7784	1.3302	-0.11	0.7222	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	mouse_2W	-0.4627	0.7975	1.2602	0.112	0.7656	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	mouse_3W	-0.4691	0.7651	1.2341	0.0825	0.7801	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_2h	0.1318	0.7572	0.6254	-0.1979	0.5625	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_4h	-0.3838	0.7783	1.1621	-0.1049	0.68	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_24h	-0.4924	0.7974	1.2898	0.1401	0.7889	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_48h	-0.4756	0.7757	1.2513	0.1794	0.776	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_72h	-0.2811	0.6657	0.9468	0.2199	0.8135	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_7d	-0.3379	0.7813	1.1192	0.1642	0.8143	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_14d	0.2144	0.7603	0.5459	0.1012	0.781	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_28d	0.0963	0.6552	0.5589	0.0234	0.7997	False
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	IRI_12mo	-0.421	0.6597	1.0807	-0.0106	0.7887	False
