collection	pathway	n_genes	auc
KEGG	Epstein-Barr virus infection	31	0.6496
KEGG	Focal adhesion	53	0.711
KEGG	Glycolysis / Gluconeogenesis	36	0.7746
KEGG	Human cytomegalovirus infection	32	0.8526
KEGG	Human immunodeficiency virus 1 infection	32	0.8066
KEGG	Human papillomavirus infection	55	0.758
KEGG	Huntington disease	103	0.735
KEGG	Insulin signaling pathway	30	0.8878
KEGG	Lipid and atherosclerosis	31	0.8082
KEGG	Lysosome	43	0.9209
KEGG	MAPK signaling pathway	34	0.9979
KEGG	Non-alcoholic fatty liver disease	46	0.4621
KEGG	Oxidative phosphorylation	55	0.4893
KEGG	PI3K-Akt signaling pathway	52	0.8013
KEGG	Parkinson disease	100	0.7014
KEGG	Pathogenic Escherichia coli infection	54	0.7703
KEGG	Pathways in cancer	61	0.9081
KEGG	Pathways of neurodegeneration	131	0.7607
KEGG	Peroxisome	42	0.6998
KEGG	Phagosome	44	0.7885
KEGG	Prion disease	99	0.6474
KEGG	Propanoate metabolism	30	0.5817
KEGG	Proteasome	32	0.5743
KEGG	Protein processing in endoplasmic reticulum	59	0.7927
KEGG	Proteoglycans in cancer	47	0.7885
KEGG	Purine metabolism	32	0.7612
KEGG	Pyruvate metabolism	33	0.8739
KEGG	RNA transport	46	0.7783
KEGG	Rap1 signaling pathway	31	0.7382
KEGG	Regulation of actin cytoskeleton	62	0.8104
KEGG	Retrograde endocannabinoid signaling	40	0.6261
KEGG	Ribosome	66	0.7292
KEGG	Salmonella infection	79	0.7537
KEGG	Shigellosis	51	0.7532
KEGG	Spinocerebellar ataxia	44	0.6624
KEGG	Spliceosome	52	0.7917
KEGG	Thermogenesis	60	0.6517
KEGG	Tight junction	47	0.8472
KEGG	Valine, leucine and isoleucine degradation	37	0.5134
KEGG	Viral carcinogenesis	36	0.7596
KEGG	Yersinia infection	34	0.7505
Hallmark	Hypoxia	53	0.7821
Hallmark	Mitotic Spindle	45	0.8547
Hallmark	DNA Repair	36	0.7821
Hallmark	G2-M Checkpoint	34	0.8638
Hallmark	Apoptosis	40	0.899
Hallmark	Adipogenesis	86	0.7212
Hallmark	Estrogen Response Late	33	0.8098
Hallmark	Myogenesis	47	0.8066
Hallmark	Protein Secretion	54	0.9119
Hallmark	Apical Junction	44	0.875
Hallmark	Complement	40	0.8777
Hallmark	Unfolded Protein Response	31	0.8889
Hallmark	mTORC1 Signaling	91	0.8499
Hallmark	E2F Targets	40	0.7404
Hallmark	Myc Targets V1	129	0.7965
Hallmark	Epithelial Mesenchymal Transition	49	0.765
Hallmark	Xenobiotic Metabolism	71	0.7938
Hallmark	Fatty Acid Metabolism	93	0.6907
Hallmark	Oxidative Phosphorylation	121	0.5011
Hallmark	Glycolysis	67	0.7217
Hallmark	p53 Pathway	33	0.7762
Hallmark	UV Response Up	34	0.8707
Hallmark	heme Metabolism	47	0.8323
Hallmark	Coagulation	37	0.7853
Hallmark	IL-2/STAT5 Signaling	33	0.7334
Hallmark	Bile Acid Metabolism	39	0.7431
Hallmark	Pperoxisome	44	0.7222
Reactome	ABC Transporter Disorders	31	0.6736
Reactome	ABC-family Proteins Mediated Transport	36	0.6474
Reactome	APC C-mediated Degradation of Cell Cycle Proteins	30	0.6736
Reactome	APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	0.6736
Reactome	APC Cdc20 Mediated Degradation of Cell Cycle Proteins Prior to Satisfation of the Checkpoint	30	0.6736
Reactome	AUF1 (hnRNP D0) Binds and Destabilizes mRNA	34	0.7783
Reactome	Activation of APC C and APC C Cdc20 Mediated Degradation of Mitotic Proteins	30	0.6736
Reactome	Activation of NF-kappaB in B Cells	30	0.6987
Reactome	mRNA Activation Upon Binding of the Cap-Binding Complex and eIFs, and Subsequent Binding to 43S	46	0.7233
Reactome	Adaptive Immune System	150	0.8061
Reactome	Aerobic Respiration and Respiratory Electron Transport	106	0.4802
Reactome	Antigen processing-Cross Presentation	41	0.5887
Reactome	Antigen Processing Ubiquitination & Proteasome Degradation	52	0.7377
Reactome	Antiviral Mechanism by IFN-stimulated Genes	46	0.7585
Reactome	Apoptosis	66	0.8483
Reactome	Asparagine N-linked Glycosylation	98	0.8884
Reactome	Assembly of the Pre-Replicative Complex	30	0.7281
Reactome	Asymmetric Localization of PCP Proteins	30	0.7244
Reactome	Autophagy	44	0.7933
Reactome	Axon Guidance	182	0.7943
Reactome	Beta-catenin Independent WNT Signaling	47	0.8029
Reactome	Biological Oxidations	54	0.8189
Reactome	C-type Lectin Receptors (CLRs)	40	0.7137
Reactome	CLEC7A (Dectin-1) Signaling	38	0.6838
Reactome	COPI-mediated Anterograde Transport	43	0.8328
Reactome	Cap-dependent Translation Initiation	84	0.7233
Reactome	Cargo Recognition for Clathrin-Mediated Endocytosis	34	0.68
Reactome	Cdc20 Phospho-APC C Mediated Degradation of Cyclin A	30	0.6736
Reactome	Cell Cycle	118	0.7997
Reactome	Cell Cycle Checkpoints	56	0.7692
Reactome	Cell Cycle, Mitotic	104	0.7847
Reactome	Cell-Cell Communication	33	0.8114
Reactome	Cellular Response to Chemical Stress	70	0.6763
Reactome	Cellular Response to Heat Stress	31	0.8948
Reactome	Cellular Response to Starvation	78	0.7484
Reactome	Cellular Responses to Stimuli	257	0.7965
Reactome	Cellular Responses to Stress	232	0.7831
Reactome	Chaperonin-mediated Protein Folding	31	0.7959
Reactome	Cilium Assembly	36	0.8007
Reactome	Class I MHC Mediated Antigen Processing & Presentation	74	0.6811
Reactome	Clathrin-mediated Endocytosis	55	0.7837
Reactome	Complex I Biogenesis	34	0.3734
Reactome	Cross-presentation of Soluble Exogenous Antigens (Endosomes)	30	0.5545
Reactome	Cyclin A Cdk2-associated Events at S Phase Entry	30	0.6902
Reactome	Cyclin E Associated Events During G1 S Transition	30	0.6902
Reactome	Cytokine Signaling in Immune System	147	0.8056
Reactome	DNA Repair	33	0.7169
Reactome	DNA Replication	34	0.734
Reactome	DNA Replication Pre-Initiation	33	0.7345
Reactome	Dectin-1 Mediated Noncanonical NF-kB Signaling	31	0.7003
Reactome	Defective CFTR Causes Cystic Fibrosis	31	0.6736
Reactome	Degradation of DVL	30	0.6752
Reactome	Degradation of GLI1 by the Proteasome	31	0.6944
Reactome	Degradation of GLI2 by the Proteasome	30	0.679
Reactome	Degradation of Beta-Catenin by the Destruction Complex	34	0.727
Reactome	Deubiquitination	57	0.6335
Reactome	Developmental Biology	230	0.836
Reactome	Diseases of Metabolism	69	0.7596
Reactome	Diseases of Signal Transduction by Growth Factor Receptors and Second Messengers	101	0.7196
Reactome	Disorders of Transmembrane Transporters	47	0.5208
Reactome	Downstream TCR Signaling	31	0.7137
Reactome	Downstream Signaling Events of B Cell Receptor (BCR)	34	0.7399
Reactome	EPH-Ephrin Signaling	32	0.9081
Reactome	ER to Golgi Anterograde Transport	60	0.8894
Reactome	ER-Phagosome Pathway	37	0.5657
Reactome	Eukaryotic Translation Elongation	66	0.727
Reactome	Eukaryotic Translation Initiation	84	0.7233
Reactome	Eukaryotic Translation Termination	65	0.7318
Reactome	Extracellular Matrix Organization	59	0.8066
Reactome	FCERI Mediated NF-kB Activation	31	0.7137
Reactome	Fatty Acid Metabolism	67	0.64
Reactome	Fc Epsilon Receptor (FCERI) Signaling	39	0.7575
Reactome	Formation of a Pool of Free 40S Subunits	73	0.7174
Reactome	Formation of the Ternary Complex, and Subsequently, the 43S Complex	39	0.6934
Reactome	G1 S Transition	36	0.7372
Reactome	G2 M Checkpoints	39	0.7569
Reactome	G2 M Transition	58	0.7612
Reactome	GLI3 Is Processed to GLI3R by the Proteasome	30	0.679
Reactome	GPCR Downstream Signalling	35	0.883
Reactome	GTP Hydrolysis and Joining of the 60S Ribosomal Subunit	83	0.7228
Reactome	Gastrulation	30	0.6181
Reactome	Gene and Protein Expression by JAK-STAT Signaling After Interleukin-12 Stimulation	30	0.8216
Reactome	Gene Expression (Transcription)	147	0.7735
Reactome	Generic Transcription Pathway	111	0.7842
Reactome	Glucose Metabolism	33	0.7719
Reactome	Golgi-to-ER Retrograde Transport	47	0.8007
Reactome	HIV Infection	69	0.7762
Reactome	Hedgehog 'Off' State	38	0.6629
Reactome	Hedgehog 'On' State	32	0.6843
Reactome	Hedgehog Ligand Biogenesis	31	0.6859
Reactome	Hemostasis	118	0.7457
Reactome	Hh Mutants Abrogate Ligand Secretion	30	0.6875
Reactome	Hh Mutants Are Degraded by ERAD	30	0.6875
Reactome	Host Interactions of HIV Factors	58	0.7778
Reactome	Infectious Disease	295	0.7714
Reactome	Influenza Infection	83	0.7473
Reactome	Influenza Viral RNA Transcription and Replication	72	0.7201
Reactome	Innate Immune System	272	0.836
Reactome	Interferon Signaling	54	0.8419
Reactome	Interleukin-1 Family Signaling	42	0.7543
Reactome	Interleukin-1 Signaling	38	0.7244
Reactome	Interleukin-12 Family Signaling	34	0.8034
Reactome	Interleukin-12 Signaling	31	0.8226
Reactome	Intra-Golgi and Retrograde Golgi-to-ER Traffic	53	0.8397
Reactome	Intracellular Signaling by Second Messengers	59	0.766
Reactome	KEAP1-NFE2L2 Pathway	49	0.7254
Reactome	L13a-mediated Translational Silencing of Ceruloplasmin Expression	82	0.7233
Reactome	L1CAM Interactions	38	0.9108
Reactome	Leishmania Infection	42	0.7885
Reactome	M Phase	93	0.766
Reactome	MAPK Family Signaling Cascades	67	0.6763
Reactome	MAPK1 MAPK3 Signaling	61	0.6581
Reactome	MAPK6 MAPK4 Signaling	35	0.7329
Reactome	MHC Class II Antigen Presentation	48	0.9049
Reactome	Macroautophagy	39	0.7826
Reactome	Major Pathway of rRNA Processing in the Nucleolus and Cytosol	66	0.7057
Reactome	Membrane Trafficking	176	0.8707
Reactome	Metabolism of RNA	211	0.7607
Reactome	Metabolism of Amino Acids and Derivatives	191	0.8045
Reactome	Metabolism of Carbohydrates	76	0.7196
Reactome	Metabolism of Lipids	144	0.7233
Reactome	Metabolism of Nucleotides	39	0.6448
Reactome	Metabolism of Polyamines	31	0.6063
Reactome	Metabolism of Vitamins and Cofactors	61	0.7222
Reactome	Metabolism of Water-Soluble Vitamins and Cofactors	40	0.7959
Reactome	Mitochondrial Protein Degradation	57	0.688
Reactome	Mitochondrial Protein Import	32	0.4476
Reactome	Mitotic Anaphase	69	0.7521
Reactome	Mitotic G1 Phase and G1 S Transition	38	0.7409
Reactome	Mitotic G2-G2 M Phases	58	0.7612
Reactome	Mitotic Metaphase and Anaphase	69	0.7521
Reactome	Mitotic Prometaphase	38	0.7495
Reactome	Muscle Contraction	37	0.89
Reactome	NIK-->noncanonical NF-kB Signaling	31	0.7003
Reactome	Neddylation	54	0.6656
Reactome	Negative Regulation of NOTCH4 Signaling	30	0.6859
Reactome	Nervous System Development	184	0.7949
Reactome	Neuronal System	51	0.8932
Reactome	Neurotransmitter Receptors and Postsynaptic Signal Transmission	35	0.8819
Reactome	Neutrophil Degranulation	179	0.8884
Reactome	Nonsense Mediated Decay (NMD) Enhanced by the Exon Junction Complex (EJC)	72	0.7313
Reactome	Nonsense Mediated Decay (NMD) Independent of the Exon Junction Complex (EJC)	67	0.7297
Reactome	Nonsense-Mediated Decay (NMD)	72	0.7313
Reactome	Nuclear Events Mediated by NFE2L2	42	0.7324
Reactome	Organelle Biogenesis and Maintenance	52	0.7901
Reactome	PCP CE Pathway	41	0.7746
Reactome	PIP3 Activates AKT Signaling	53	0.7623
Reactome	PTEN Regulation	41	0.6811
Reactome	Parasitic Infection Pathways	42	0.7885
Reactome	Peptide Chain Elongation	64	0.7228
Reactome	Peroxisomal Protein Import	33	0.6426
Reactome	Platelet Activation, Signaling and Aggregation	70	0.7361
Reactome	Platelet Degranulation	43	0.7329
Reactome	Post-translational Protein Modification	281	0.7858
Reactome	Processing of Capped Intron-Containing Pre-mRNA	79	0.8013
Reactome	Programmed Cell Death	74	0.8098
Reactome	Proteasome Assembly	33	0.5732
Reactome	Protein Folding	33	0.7933
Reactome	Protein Localization	74	0.6052
Reactome	RAF MAP Kinase Cascade	60	0.656
Reactome	RHO GTPase Effectors	78	0.7842
Reactome	RHO GTPase Cycle	109	0.8787
Reactome	RNA Polymerase II Transcription	126	0.7837
Reactome	Regulation of APC C Activators Between G1 S and Early Anaphase	30	0.6736
Reactome	Regulation of Apoptosis	31	0.7035
Reactome	Regulation of PTEN Stability and Activity	31	0.6928
Reactome	Regulation of RAS by GAPs	30	0.6752
Reactome	Regulation of RUNX2 Expression and Activity	30	0.6287
Reactome	Regulation of RUNX3 Expression and Activity	30	0.6934
