dataset,module,z,mean_lfc,n_genes
cat_rna_med_early,Glycolysis,0.7445691694811892,0.12938472220559116,13
cat_rna_med_early,Hypoxia,0.5054038121438396,0.21551227171078968,12
cat_rna_med_early,PT_transport,-6.695856334755692,-3.4392644513675616,16
cat_rna_med_early,Podocyte,-1.7400275103163685,-1.1528883260846632,12
cat_rna_med_early,TAL,-2.944913703583135,-1.2170907061509355,9
cat_rna_med_early,CD_principal,3.106425339287123,0.759419773594127,8
cat_rna_med_early,CD_intercalated,-4.388157017485859,-1.3847312074895117,9
cat_rna_med_early,Osmotic_TonEBP,1.2339991542508482,0.9326725557707849,10
cat_rna_med_early,Urea_concentration,1.7199787025553606,0.6274338239780464,10
cat_rna_med_early,MR_downstream,2.2451536546771926,0.4213100635503419,11
cat_rna_med_early,MR_regulators,,,3
cat_rna_med_early,Cell_cycle,0.9040812503524066,0.1788915065620988,10
cat_rna_med_early,ER_proteostasis,-1.0091988767264604,-0.06894873598629339,11
cat_rna_med_early,Lysosome,-1.4354895863120218,-0.17396097961490836,13
cat_rna_med_early,Redox_ferroptosis,-2.2711731184908626,-0.3470775679832361,12
cat_rna_med_early,Ciliogenesis,-1.2147562610523546,-0.24680556175601062,7
cat_rna_med_early,Matrix_integrin,0.8348123498924686,0.1870802202059757,13
cat_rna_med_late,ECM_fibrosis,6.438235454235951,1.0168197938625636,34
cat_rna_med_late,Complement,4.159138138538716,0.9677578668935067,20
cat_rna_med_late,Innate_immune,6.764764417131873,1.6168950438805718,21
cat_rna_med_late,Lymphocyte,5.883773552400678,2.1762724812019933,13
cat_rna_med_late,B_plasma,3.419904925016192,1.7494831380286477,5
cat_rna_med_late,T_cell,4.161124479947717,2.688815946757398,6
cat_rna_med_late,Osteoclast_like_Mac,4.470228004177337,1.98957745156385,11
cat_rna_med_late,Tubular_injury,4.944715854982908,2.0403542308781812,13
cat_rna_med_late,OXPHOS,-4.302338377740391,-0.5400646877238644,21
cat_rna_med_late,FAO_PPARA,-4.237243682053946,-0.8384049377443954,17
cat_rna_med_late,Glycolysis,0.7993192161742256,0.06603464550267078,13
cat_rna_med_late,Hypoxia,1.551909346957491,0.4711269716011935,12
cat_rna_med_late,PT_transport,-6.471337532883758,-2.223340042347986,16
cat_rna_med_late,Podocyte,-2.1208488897622324,-0.8285972954060498,12
cat_rna_med_late,TAL,-4.210644594378758,-1.9383421462999821,9
cat_rna_med_late,CD_principal,2.171120403441538,0.44299382787914854,8
cat_rna_med_late,CD_intercalated,-4.284236238044378,-1.544084315303802,9
cat_rna_med_late,Osmotic_TonEBP,-2.4883760128747188,-0.5732318218001725,10
cat_rna_med_late,Urea_concentration,-0.9512226298350673,-0.8558583283889746,10
cat_rna_med_late,MR_downstream,2.520038316351389,0.6444473051172968,11
cat_rna_med_late,MR_regulators,,,3
cat_rna_med_late,Cell_cycle,3.4067360067842785,1.0999191742722174,10
cat_rna_med_late,ER_proteostasis,0.8773664369439363,0.1496013390314947,11
cat_rna_med_late,Lysosome,0.6032888765778998,0.08411011284928122,13
cat_rna_med_late,Redox_ferroptosis,-0.7675378266850084,-0.09616975503628362,12
cat_rna_med_late,Ciliogenesis,1.5070284441626953,0.6168526626146376,7
cat_rna_med_late,Matrix_integrin,2.6403052689995428,0.4290626046792129,13
cat_rna_med_prog,ECM_fibrosis,2.3660810062155107,0.23009204740738176,34
cat_rna_med_prog,Complement,2.009932996135544,0.3101792586867758,20
cat_rna_med_prog,Innate_immune,2.393774995725104,0.23412524528527795,21
cat_rna_med_prog,Lymphocyte,5.182280712760155,1.1449869252238198,13
