n_iri,n_states,n_pairs,iri_set,rho_model,rho_entry,rho_time
6,11,55,IRI2h+IRI4h+IRI24h+IRI72h+IRI7d+IRI12m,-0.012043194021168335,-0.07159372441535206,0.6051805624631608
6,11,55,IRI2h+IRI4h+IRI24h+IRI72h+IRI14d+IRI28d,0.01686047162963567,-0.10161689917017712,0.6013605304589247
6,11,55,IRI2h+IRI4h+IRI24h+IRI72h+IRI14d+IRI12m,0.0024086388042336665,-0.09699794920789634,0.5013530660696343
6,11,55,IRI2h+IRI4h+IRI24h+IRI72h+IRI28d+IRI12m,-0.08911963575664567,-0.15011587377412527,0.6245760893667097
6,11,55,IRI2h+IRI4h+IRI24h+IRI7d+IRI14d+IRI28d,0.08189371934394465,-0.02309474981140389,0.6420773961884197
6,11,55,IRI2h+IRI4h+IRI24h+IRI7d+IRI14d+IRI12m,0.086710996952412,-0.004618949962280777,0.5333141034703696
6,11,55,IRI2h+IRI4h+IRI24h+IRI7d+IRI28d+IRI12m,-0.019269110433869332,-0.07159372441535206,0.6462099110623647
6,11,55,IRI2h+IRI4h+IRI24h+IRI14d+IRI28d+IRI12m,0.028903665650804003,-0.07390319939649244,0.5556738747003435
6,11,55,IRI2h+IRI4h+IRI48h+IRI72h+IRI7d+IRI14d,0.093936913365113,-0.0023094749811403887,0.6204072112346526
6,11,55,IRI2h+IRI4h+IRI48h+IRI72h+IRI7d+IRI28d,0.019269110433869332,-0.05311792456622894,0.7138656102658187
6,11,55,IRI2h+IRI4h+IRI48h+IRI72h+IRI7d+IRI12m,0.04817277608467334,-0.02540422479254428,0.6024896363606156
6,11,55,IRI2h+IRI4h+IRI48h+IRI72h+IRI14d+IRI28d,0.028903665650804003,-0.07852214935877322,0.6446968108201105
6,11,55,IRI2h+IRI4h+IRI48h+IRI72h+IRI14d+IRI12m,0.050581414888907,-0.05311792456622894,0.49744659036785094
6,11,55,IRI2h+IRI4h+IRI48h+IRI72h+IRI28d+IRI12m,-0.055398692497374336,-0.12009269901930024,0.636526018776444
6,11,55,IRI2h+IRI4h+IRI48h+IRI7d+IRI14d+IRI28d,0.09152827456087934,-0.0069284249434211674,0.6610834822597843
6,11,55,IRI2h+IRI4h+IRI48h+IRI7d+IRI14d+IRI12m,0.12284057901591701,0.02771369977368467,0.5197430823072312
6,11,55,IRI2h+IRI4h+IRI48h+IRI7d+IRI28d+IRI12m,0.009634555216934666,-0.05080844958508856,0.6450879803226023
6,11,55,IRI2h+IRI4h+IRI48h+IRI14d+IRI28d+IRI12m,0.055398692497374336,-0.04849897460394817,0.5559025577202017
6,11,55,IRI2h+IRI4h+IRI72h+IRI7d+IRI14d+IRI28d,0.10357146858204766,-0.011547374905701945,0.6706483496188586
