a,b,label_a,label_b,model_a,model_b,kind,distance
IRI72h,IRI14d,IRI 72h,IRI 14d,IRI,IRI,within_model,0.4018731573090033
IRI72h,IRI28d,IRI 72h,IRI 28d,IRI,IRI,within_model,0.3368492504518371
IRI72h,IRI12m,IRI 72h,IRI 12mo,IRI,IRI,within_model,0.4047220069894949
IRI72h,cat_natural_ctx,IRI 72h,cat cortex,IRI,cat,cross_species,0.5442045192868044
IRI72h,cat_natural_med,IRI 72h,cat medulla,IRI,cat,cross_species,0.5861931928937407
IRI7d,IRI14d,IRI 7d,IRI 14d,IRI,IRI,within_model,0.22289206001119943
IRI7d,IRI28d,IRI 7d,IRI 28d,IRI,IRI,within_model,0.23967304366063935
IRI7d,IRI12m,IRI 7d,IRI 12mo,IRI,IRI,within_model,0.27639442158691174
IRI7d,cat_natural_ctx,IRI 7d,cat cortex,IRI,cat,cross_species,0.5029555292086523
IRI7d,cat_natural_med,IRI 7d,cat medulla,IRI,cat,cross_species,0.478908873771103
IRI14d,IRI28d,IRI 14d,IRI 28d,IRI,IRI,within_model,0.22730380476122936
IRI14d,IRI12m,IRI 14d,IRI 12mo,IRI,IRI,within_model,0.3634061770577025
IRI14d,cat_natural_ctx,IRI 14d,cat cortex,IRI,cat,cross_species,0.5480601187789713
IRI14d,cat_natural_med,IRI 14d,cat medulla,IRI,cat,cross_species,0.5607664579891097
IRI28d,IRI12m,IRI 28d,IRI 12mo,IRI,IRI,within_model,0.4287546505980536
IRI28d,cat_natural_ctx,IRI 28d,cat cortex,IRI,cat,cross_species,0.5224598862504435
IRI28d,cat_natural_med,IRI 28d,cat medulla,IRI,cat,cross_species,0.6751139608114485
IRI12m,cat_natural_ctx,IRI 12mo,cat cortex,IRI,cat,cross_species,0.534720534642483
IRI12m,cat_natural_med,IRI 12mo,cat medulla,IRI,cat,cross_species,0.43884720944710076
cat_natural_ctx,cat_natural_med,cat cortex,cat medulla,cat,cat,within_cat,0.2400868869063314
