library,term,n_set,n_hit,expected,fold,p,q,n_tested_in_library
gobp,Immunoglobulin Mediated Immune Response (GO:0016064),14,6,0.9,6.34,0.00017575822777066467,0.002399775802253306,1065.0
gobp,Granulocyte Chemotaxis (GO:0071621),46,11,3.1,3.54,0.00018878967547289612,0.00254507600479284,1065.0
gobp,Pattern Recognition Receptor Signaling Pathway (GO:0002221),39,10,2.6,3.79,0.0001985378500710777,0.0026430351290712218,1065.0
kegg,Phagosome,105,18,7.1,2.54,0.00021801560572190458,0.0015188420531959354,209.0
gobp,Toll-Like Receptor Signaling Pathway (GO:0002224),26,8,1.8,4.55,0.00022043164026187132,0.002898267862702382,1065.0
gobp,Regulation Of Peptidase Activity (GO:0052547),20,7,1.4,5.18,0.00022363595899659331,0.0029045401991630716,1065.0
gobp,Regulation Of Natural Killer Cell Mediated Cytotoxicity (GO:0042269),10,5,0.7,7.4,0.00026387144639460715,0.003345512981074484,1065.0
gobp,Regulation Of Lymphocyte Proliferation (GO:0050670),10,5,0.7,7.4,0.00026387144639460715,0.003345512981074484,1065.0
gobp,Receptor Clustering (GO:0043113),15,6,1.0,5.92,0.0002762312647238084,0.0034074039589877883,1065.0
gobp,Dendritic Cell Migration (GO:0036336),15,6,1.0,5.92,0.0002762312647238084,0.0034074039589877883,1065.0
gobp,Regulation Of Alpha-Beta T Cell Proliferation (GO:0046640),6,4,0.4,9.87,0.00027844644340568734,0.0034074039589877883,1065.0
gobp,Regulation Of Defense Response (GO:0031347),72,14,4.9,2.88,0.00028155074966284074,0.0034074039589877883,1065.0
gobp,B Cell Differentiation (GO:0030183),41,10,2.8,3.61,0.00030945688885921935,0.0036619065181674295,1065.0
gobp,Positive Regulation Of Interleukin-8 Production (GO:0032757),41,10,2.8,3.61,0.00030945688885921935,0.0036619065181674295,1065.0
gobp,Fc-gamma Receptor Signaling Pathway (GO:0038094),21,7,1.4,4.93,0.0003160069508779525,0.0036861952777986003,1065.0
gobp,Positive Regulation Of Chemokine Production (GO:0032722),34,9,2.3,3.92,0.0003184318925422265,0.0036861952777986003,1065.0
kegg,Epstein-Barr virus infection,156,23,10.5,2.18,0.0003242140528147476,0.002185830227041363,209.0
gobp,Neutrophil Migration (GO:1990266),49,11,3.3,3.32,0.00034218513151598994,0.00391857166736053,1065.0
hallmark,IL-6/JAK/STAT3 Signaling,74,14,5.0,2.8,0.0003787444444104503,0.0018937222220522516,35.0
kegg,Platelet activation,101,17,6.8,2.49,0.0004037285838949783,0.002636852313564077,209.0
gobp,Positive Regulation Of Immune Response (GO:0050778),50,11,3.4,3.26,0.00041229741723756026,0.004514746934368893,1065.0
gobp,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474),16,6,1.1,5.55,0.0004168085586642791,0.004514746934368893,1065.0
gobp,Pyroptosis (GO:0070269),16,6,1.1,5.55,0.0004168085586642791,0.004514746934368893,1065.0
gobp,Dendritic Cell Differentiation (GO:0097028),16,6,1.1,5.55,0.0004168085586642791,0.004514746934368893,1065.0
gobp,Positive Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050857),16,6,1.1,5.55,0.0004168085586642791,0.004514746934368893,1065.0
gobp,Positive Regulation Of MAPK Cascade (GO:0043410),210,28,14.2,1.97,0.00042796097948610666,0.004514746934368893,1065.0
gobp,Positive Regulation Of Interleukin-2 Production (GO:0032743),22,7,1.5,4.71,0.00043663749693896337,0.004514746934368893,1065.0
gobp,Heterotypic Cell-Cell Adhesion (GO:0034113),22,7,1.5,4.71,0.00043663749693896337,0.004514746934368893,1065.0
gobp,Regulation Of B Cell Activation (GO:0050864),22,7,1.5,4.71,0.00043663749693896337,0.004514746934368893,1065.0
gobp,Leukocyte Cell-Cell Adhesion (GO:0007159),22,7,1.5,4.71,0.00043663749693896337,0.004514746934368893,1065.0
gobp,Regulation Of Lymphocyte Activation (GO:0051249),11,5,0.7,6.73,0.0004568796886072195,0.004634065413016084,1065.0
gobp,T Cell Migration (GO:0072678),11,5,0.7,6.73,0.0004568796886072195,0.004634065413016084,1065.0
kegg,Toll-like receptor signaling pathway,76,14,5.1,2.73,0.0005032512635068712,0.003187258002210184,209.0
gobp,Regulation Of Chemokine Production (GO:0032642),29,8,2.0,4.08,0.0005051104624455019,0.005074930589664713,1065.0
kegg,Chagas disease,85,15,5.7,2.61,0.0005188237696095417,0.0031892402308351243,209.0
gobp,Positive Regulation Of Phagocytosis (GO:0050766),44,10,3.0,3.36,0.0005693242374571987,0.0056666384382422115,1065.0
gobp,Positive Regulation Of Endocytosis (GO:0045807),60,12,4.1,2.96,0.000577458843284802,0.005694340868048237,1065.0
kegg,Fc epsilon RI signaling pathway,52,11,3.5,3.13,0.0005889491437915344,0.0035168677443551625,209.0
gobp,Negative Regulation Of T Cell Proliferation (GO:0042130),23,7,1.6,4.5,0.0005913592842780864,0.005694340868048237,1065.0
gobp,Microglial Cell Activation (GO:0001774),17,6,1.1,5.22,0.0006075366651370586,0.005694340868048237,1065.0
gobp,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),17,6,1.1,5.22,0.0006075366651370586,0.005694340868048237,1065.0
gobp,Regulation Of Neutrophil Migration (GO:1902622),7,4,0.5,8.46,0.0006148818777704668,0.005694340868048237,1065.0
gobp,Synapse Pruning (GO:0098883),7,4,0.5,8.46,0.0006148818777704668,0.005694340868048237,1065.0
kegg,Asthma,7,4,0.5,8.46,0.0006148818777704668,0.003569730901500766,209.0
gobp,Negative Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001911),7,4,0.5,8.46,0.0006148818777704668,0.005694340868048237,1065.0
gobp,Regulation Of Lymphocyte Apoptotic Process (GO:0070228),7,4,0.5,8.46,0.0006148818777704668,0.005694340868048237,1065.0
gobp,Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200),37,9,2.5,3.6,0.0006288231001472864,0.005773246566007415,1065.0
gobp,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),184,25,12.4,2.01,0.000642754068667777,0.00585071011223233,1065.0
kegg,NF-kappa B signaling pathway,87,15,5.9,2.55,0.0006692301628817476,0.003780246055196899,209.0
gobp,Regulation Of Neuron Death (GO:1901214),45,10,3.0,3.29,0.000688312567028714,0.006212312575301529,1065.0
gobp,Negative Regulation Of T Cell Receptor Signaling Pathway (GO:0050860),12,5,0.8,6.17,0.0007397721045941508,0.006620649507502274,1065.0
gobp,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),396,44,26.8,1.64,0.0007678630671774801,0.006814784721200135,1065.0
gobp,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961),31,8,2.1,3.82,0.0008228250296234224,0.007208178046365458,1065.0
gobp,Extracellular Matrix Organization (GO:0030198),117,18,7.9,2.28,0.0008407403660533957,0.007208178046365458,1065.0
gobp,Regulation Of T Cell Migration (GO:2000404),18,6,1.2,4.93,0.0008595667717262096,0.007208178046365458,1065.0
gobp,Negative Regulation Of B Cell Activation (GO:0050869),18,6,1.2,4.93,0.0008595667717262096,0.007208178046365458,1065.0
gobp,Activation Of Phospholipase C Activity (GO:0007202),18,6,1.2,4.93,0.0008595667717262096,0.007208178046365458,1065.0
gobp,Regulation Of B Cell Differentiation (GO:0045577),18,6,1.2,4.93,0.0008595667717262096,0.007208178046365458,1065.0
gobp,Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220),18,6,1.2,4.93,0.0008595667717262096,0.007208178046365458,1065.0
gobp,Myeloid Leukocyte Differentiation (GO:0002573),55,11,3.7,2.96,0.0009688841514677511,0.007998927297001203,1065.0
gobp,Positive Regulation Of Type I Interferon Production (GO:0032481),55,11,3.7,2.96,0.0009688841514677511,0.007998927297001203,1065.0
kegg,Fc gamma R-mediated phagocytosis,81,14,5.5,2.56,0.0009748650853056047,0.005361757969180826,209.0
kegg,Carbohydrate digestion and absorption,32,8,2.2,3.7,0.0010329490897479727,0.00553554768608529,209.0
gobp,Regulation Of Response To External Stimulus (GO:0032101),91,15,6.1,2.44,0.001083164793440465,0.008873619269339194,1065.0
gobp,Immune Response-Activating Cell Surface Receptor Signaling Pathway (GO:0002429),13,5,0.9,5.69,0.0011355588053616745,0.008918429203757803,1065.0
gobp,Regulation Of Mast Cell Degranulation (GO:0043304),13,5,0.9,5.69,0.0011355588053616745,0.008918429203757803,1065.0
gobp,T Cell Chemotaxis (GO:0010818),8,4,0.5,7.4,0.0011640015580491405,0.008918429203757803,1065.0
gobp,Positive Regulation Of B Cell Differentiation (GO:0045579),8,4,0.5,7.4,0.0011640015580491405,0.008918429203757803,1065.0
gobp,Superoxide Anion Generation (GO:0042554),8,4,0.5,7.4,0.0011640015580491405,0.008918429203757803,1065.0
gobp,Negative Regulation Of Leukocyte Migration (GO:0002686),8,4,0.5,7.4,0.0011640015580491405,0.008918429203757803,1065.0
gobp,Regulation Of Cell Activation (GO:0050865),8,4,0.5,7.4,0.0011640015580491405,0.008918429203757803,1065.0
gobp,Negative Regulation Of B Cell Proliferation (GO:0030889),8,4,0.5,7.4,0.0011640015580491405,0.008918429203757803,1065.0
gobp,Negative Regulation Of T Cell Mediated Immunity (GO:0002710),8,4,0.5,7.4,0.0011640015580491405,0.008918429203757803,1065.0
gobp,Negative Regulation Of Lymphocyte Activation (GO:0051250),19,6,1.3,4.67,0.0011850656199588546,0.009014963466115572,1065.0
gobp,Negative Regulation Of Neuron Death (GO:1901215),65,12,4.4,2.73,0.0012174889884674232,0.009195927466083728,1065.0
gobp,Positive Regulation Of Inflammatory Response (GO:0050729),74,13,5.0,2.6,0.001251478947982763,0.009386092109870722,1065.0
kegg,NOD-like receptor signaling pathway,131,19,8.9,2.15,0.0012667119409738472,0.006544461243081028,209.0
kegg,Viral myocarditis,33,8,2.2,3.59,0.0012838416792646994,0.006544461243081028,209.0
gobp,Calcium-Mediated Signaling (GO:0019722),57,11,3.9,2.86,0.0013202974163931134,0.009832984254955704,1065.0
kegg,Human T-cell leukemia virus 1 infection,183,24,12.4,1.94,0.0013459308010833465,0.0066976080339623675,209.0
gobp,Positive Regulation Of Protein Phosphorylation (GO:0001934),281,33,19.0,1.74,0.001350320151126592,0.009986742784373753,1065.0
gobp,Negative Regulation Of Viral Process (GO:0048525),41,9,2.8,3.25,0.0013880623719732014,0.010195078801044548,1065.0
gobp,Integrin-Mediated Signaling Pathway (GO:0007229),66,12,4.5,2.69,0.0013983708329227405,0.010200444774402182,1065.0
