tissue,module,Control,CKD1/2,CKD3/4,prog_delta,prog_p_perm
ctx,ER_proteostasis,-0.387326342111119,0.18732172292512675,0.1179120384665309,-0.06940968445859586,0.8411588411588412
ctx,Lysosome,0.28033153193315546,0.08118542387889613,-0.33306751180429933,-0.41425293568319543,0.2057942057942058
ctx,Redox_ferroptosis,0.1977070702124648,0.03119570059360005,-0.20511543228908513,-0.23631113288268518,0.3986013986013986
ctx,Ciliogenesis,-0.066142072923018,-0.2572871607961858,0.3507356748439409,0.6080228356401267,0.052947052947052944
ctx,Matrix_integrin,-0.4805085248608014,-0.33381570404369304,0.7933681116449061,1.1271838156885992,0.000999000999000999
med,ECM_fibrosis,-0.5423077291533668,0.19966116964661182,0.3712436374787832,0.17158246783217138,0.6113886113886113
med,Complement,-0.5304101999276715,0.19306166581235934,0.3662059077759021,0.17314424196354278,0.5314685314685315
med,Innate_immune,-0.7484847891178199,0.2987580220073673,0.4799205161310704,0.1811624941237031,0.6593406593406593
med,Lymphocyte,-0.6598323351457701,0.05798143743494898,0.7106247897659956,0.6526433523310466,0.10789210789210789
med,B_plasma,-0.14842719514902505,-0.3211241860600396,0.6276864946628857,0.9488106807229253,0.13386613386613386
med,T_cell,-0.809274500347884,0.1645301483579916,0.7407871927162724,0.5762570443582807,0.2127872127872128
med,Osteoclast_like_Mac,-0.6644170835408295,0.3206777817077561,0.3483516058581372,0.027673824150381054,0.958041958041958
med,Tubular_injury,-0.6950563781695357,0.030833970164684737,0.7909000955728842,0.7600661254081995,0.004995004995004995
med,OXPHOS,0.6709650200394766,-0.44207969880874837,-0.186246445715124,0.25583325309362437,0.6503496503496503
med,FAO_PPARA,0.6710101395306193,-0.43196240822097104,-0.2004647959273842,0.23149761229358684,0.5424575424575424
med,Glycolysis,-0.0823702859354191,0.0440481611432917,0.03717691752189256,-0.00687124362139914,0.9820179820179821
med,Hypoxia,-0.13425301940249987,-0.06678375793282564,0.2546008843889548,0.32138464232178043,0.18681318681318682
med,PT_transport,0.6979377488942543,-0.5247187000453482,-0.10291911860961829,0.4217995814357299,0.3806193806193806
med,Podocyte,0.21778101534601133,-0.03397475810711258,-0.2137725570652548,-0.1797977989581422,0.5274725274725275
med,TAL,0.4987396464616956,-0.040445691833208515,-0.5418636071875435,-0.5014179153543349,0.34265734265734266
med,CD_principal,-0.3516026839272319,0.2207844230511608,0.11282502844105262,-0.10795939461010819,0.8091908091908092
med,CD_intercalated,0.593068779955716,-0.2619956420171816,-0.3448886371228058,-0.0828929951056242,0.8271728271728271
med,Osmotic_TonEBP,0.08377397065399554,0.3009665981287241,-0.5218820021650059,-0.8228486002937301,0.002997002997002997
med,Urea_concentration,-0.09292983208758153,0.2836221287978403,-0.2855551818118784,-0.5691773106097187,0.09090909090909091
med,MR_downstream,-0.3176004776197011,0.05283824658288692,0.3071470279275997,0.25430878134471274,0.3206793206793207
med,MR_regulators,0.1743529169160013,0.19459899699853553,-0.48166209609715194,-0.6762610930956875,0.22477522477522477
med,Cell_cycle,-0.35426828029940477,-0.15788970652106002,0.6461675254887705,0.8040572320098306,0.06493506493506493
med,ER_proteostasis,0.047724396921798806,-0.2913389991607268,0.3506053225188591,0.6419443216795859,0.029970029970029972
med,Lysosome,0.12797149411719166,-0.2706313073643465,0.22531803736945283,0.4959493447337993,0.17482517482517482
med,Redox_ferroptosis,0.23175856576485207,-0.22803624594674687,0.04114046540762295,0.2691767113543698,0.43356643356643354
med,Ciliogenesis,-0.020833746292272987,-0.20608866192525072,0.3135246222460787,0.5196132841713295,0.14385614385614387
med,Matrix_integrin,-0.2535077328435546,0.008293551483814748,0.29259830733492564,0.2843047558511109,0.4355644355644356
