feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
CCDC68,0.7205591686877986,0.25127379425164864,0.4934650137432364,-0.9419778302238075,0.1149880520248293,0.3426174517758493,-1.6625369989116061,0.008921781793541163,True,sign_reversal,-0.7649428102958629
CD300LG,0.760339402968436,0.20722136132759003,0.44583134569732313,-1.296696396407743,0.10816600526291067,0.33264761991446895,-2.057035799376179,0.01398635508609405,True,sign_reversal,-0.5863665581818654
CD5L,-2.2752042769405825,0.06104339279525427,0.23389873466618094,0.9294161741116839,0.48509377841683543,0.6900529047410948,3.2046204510522664,0.0023779311544985153,True,sign_reversal,-2.4479929877647915
CEACAM1,-1.2232948034021804,0.047294112814457015,0.20575382061434044,0.834318659797491,0.2825410184558954,0.52675891644498,2.0576134631996714,0.0054691761223006966,True,sign_reversal,-1.4662201175017509
CFAP221,-1.1629330656016892,0.04936599591335401,0.21087595400368653,0.635438330943797,0.44934572287430974,0.6635226957270614,1.7983713965454862,0.01345408538074539,True,sign_reversal,-1.8301273451263484
CFAP44,-0.6191848415387408,0.21735086591352087,0.45725446739723347,1.1377488425687798,0.1493062538771284,0.38733365810401343,1.7569336841075205,0.009539982130042177,True,sign_reversal,-0.5442192673567229
CFAP65,-1.012402751986067,0.17776545373708555,0.4105624247935311,0.7774608228034359,0.24821171700044906,0.49639151348761273,1.789863574789503,0.031059345121197755,True,sign_reversal,-1.3021913417263355
CFAP77,-1.3639417174881663,0.07620341769145543,0.2618157391009562,1.258061464258351,0.15936135871814502,0.40101695459863523,2.6220031817465173,0.007186449223364989,True,sign_reversal,-1.0841614310889283
CFAP99,-1.2851649605474722,0.011477052908101887,0.12501351496165633,1.179543434324883,0.10773577000413127,0.3322832324551661,2.464708394872355,0.0012346832775306927,True,sign_reversal,-1.0895444145158097
CFTR,-1.3382659123174627,0.11935797633986046,0.33035500811831936,1.1879603061289747,0.13922074721752187,0.3749567436444139,2.5262262184464377,0.02609573781351695,True,sign_reversal,-1.1265240979963935
COL11A1,1.0452645551151585,0.14482179702453377,0.3661308200957676,-0.8703430043192666,0.15428076086017603,0.39407802845111384,-1.915607559434425,0.01602265803069492,True,sign_reversal,-1.2009800158418067
CYRIA,0.6148659454895977,0.14305876724722258,0.36358884627323906,-0.9012930673042612,0.08819164440120049,0.3018073836242694,-1.516159012793859,0.0022226783318243324,True,sign_reversal,-0.6822042327792914
DRC1,-0.6374504499991254,0.1010510103919745,0.3027878956243014,0.6845437009817132,0.2271518802850835,0.475253906579741,1.3219941509808386,0.009500770031386,True,sign_reversal,-0.9312049020171381
EDNRB,0.637617051300956,0.036395833905791534,0.18194341723631935,-0.7758160239843992,0.049911020274058575,0.23231449589147937,-1.4134330752853552,0.00026508872157601825,True,sign_reversal,-0.8218663079763583
ELF5,0.958686322877659,0.15486503552333689,0.3792020043840873,-0.9293698576269458,0.29154663851764484,0.534402993186323,-1.8880561805046048,0.029646874221263244,True,sign_reversal,-1.0315444545679262
FBN3,-0.7475019209804715,0.3621899409193827,0.598180632263114,2.9070764439830454,0.0033060038932185864,0.07789006394717309,3.654578364963517,0.00011338258262723084,True,sign_reversal,-0.2571318420358784
FCRLA,-0.667644680719228,0.5936364885131846,0.7788789439413993,1.9528923703580956,0.1118364455809238,0.3386917513499391,2.620537051077324,0.038220586821353576,True,sign_reversal,-0.3418747959964656
