,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
IQCG,-0.5607837286075676,-2.952503829813559,0.00885969892452171,0.10693936692382579,0.1400570203504848,17.125622076805527,11,6,0.9561573610520071
CDKN1C,-0.8433071231516045,-2.9516697579412914,0.008875464296284259,0.30884975153557204,0.31690640751979077,17.125622076805527,11,6,0.9561573610520071
LOC101098213,0.6313850303758829,2.9447899513125386,0.009006547852847486,0.1508003329427136,0.17847398922511504,17.125622076805527,11,6,0.9561573610520071
CNTN4,0.8934701105459993,2.93494911025502,0.009197322031454043,0.3578148686085246,0.35979400324041827,17.125622076805527,11,6,0.9561573610520071
BDH1,1.4116016195102663,2.9340478289892102,0.00921498903515937,0.9730178051620371,0.8986383154012534,17.125622076805527,11,6,0.9561573610520071
STARD4,0.9356763212395532,2.931531334432314,0.009264492159037113,0.3985918451138228,0.39550976555470413,17.125622076805527,11,6,0.9561573610520071
LOC101098487,-1.9490330903094237,-2.923249984235919,0.009429227069281688,1.917445222999775,1.7258439610725231,17.125622076805527,11,6,0.9561573610520071
SMOC1,2.864399879537663,2.9230703882627433,0.009432830939547512,4.203400072564489,3.728067447593998,17.125622076805527,11,6,0.9561573610520071
B3GNT7,-0.9177671281314845,-2.9198196459125767,0.00949829352816169,0.384963471126405,0.3835729372809951,17.125622076805527,11,6,0.9561573610520071
TOPAZ1,-1.109516262740089,-2.9194470562161468,0.009505824728048519,0.5872359792944304,0.5607395014450886,17.125622076805527,11,6,0.9561573610520071
FAM124A,-1.0910429465413187,-2.918836960597257,0.009518169171083252,0.5663537349702537,0.5424491489277989,17.125622076805527,11,6,0.9561573610520071
CLTCL1,-0.7023553060616081,-2.9094271776718044,0.00971054348513983,0.20534967366657125,0.2262526980619792,17.125622076805527,11,6,0.9561573610520071
SLC35E3,0.6983327303558294,2.9072696313838584,0.009755180875609323,0.20277843742989546,0.22400060214527828,17.125622076805527,11,6,0.9561573610520071
CLDN4,-1.0836373083471351,-2.8993654010812597,0.009920416256488662,0.5662082618739726,0.5423217318661336,17.125622076805527,11,6,0.9561573610520071
GUCY1A2,1.2174673130863793,2.8920235453910115,0.010076322367727158,0.7325620635677365,0.6880277981459703,17.125622076805527,11,6,0.9561573610520071
ANXA11,-0.4194299504767138,-2.881469743917171,0.010304598881028405,0.04095140258919386,0.08225944309575473,17.125622076805527,11,6,0.9561573610520071
EMP1,0.9478674328387565,2.8771878965181976,0.010398635028653841,0.42810578126190524,0.42136044941516543,17.125622076805527,11,6,0.9561573610520071
TRPM4,-0.5187640489443127,-2.8764696098739564,0.010414490871508805,0.0912035916214555,0.12627436016582294,17.125622076805527,11,6,0.9561573610520071
MAGED2,-0.45756466075194113,-2.8751978841546766,0.010442621023708094,0.059293716361489626,0.09832511973806903,17.125622076805527,11,6,0.9561573610520071
KANK4,0.6808828535601947,2.8679989738674974,0.01060324981711557,0.19686071769774496,0.2188173862840291,17.125622076805527,11,6,0.9561573610520071
PPM1J,-0.6223795505090935,-2.8532099980798384,0.010940766350720627,0.15794323015016523,0.18473031425852132,17.125622076805527,11,6,0.9561573610520071
SLIT2,2.0905768498556254,2.84423698921847,0.011150587097140332,2.341733530035647,2.097469854543438,17.125622076805527,11,6,0.9561573610520071
ZMAT3,0.7893652030442889,2.8411814279619745,0.011222920271139615,0.28917849982176175,0.29967673992676436,17.125622076805527,11,6,0.9561573610520071
SC5D,0.7269835560530606,2.8403373998236434,0.011242980393421538,0.2374102596234667,0.25433394306415413,17.125622076805527,11,6,0.9561573610520071
EPHA3,1.6771301029941157,2.833328384401348,0.011410907642410316,1.500100706559661,1.3602999990181281,17.125622076805527,11,6,0.9561573610520071
CARNMT1,0.4977759168362642,2.8284579581948877,0.011529020301460486,0.08431865045979049,0.12024397382646498,17.125622076805527,11,6,0.9561573610520071
METTL27,1.2097419039149488,2.825465410986284,0.011602176906152485,0.7595953702325098,0.7117057467864927,17.125622076805527,11,6,0.9561573610520071
RRAD,-1.0716049997504906,-2.824035235696642,0.011637297370932576,0.5852682671742867,0.5590160205887563,17.125622076805527,11,6,0.9561573610520071
LEAP2,1.4911966710620856,2.815173266231203,0.011857216555733754,1.190718140522642,1.0893178139773536,17.125622076805527,11,6,0.9561573610520071
LOC101081158,1.0568009490029862,2.811758872574321,0.011943013677010207,0.5731879626334903,0.5484351162981399,17.125622076805527,11,6,0.9561573610520071
PRIM2,-0.4232549559374044,-2.810551779728024,0.011973488589497316,0.047559421329215604,0.08804727846055424,17.125622076805527,11,6,0.9561573610520071
CBX2,-0.5446104176534355,-2.8014674738523686,0.012205253303684481,0.11454901971480641,0.14672216754063006,17.125622076805527,11,6,0.9561573610520071
SFXN3,0.6792854796984958,2.7994602546080074,0.012257042971430512,0.20801448685749432,0.22858675621674737,17.125622076805527,11,6,0.9561573610520071
NUDT4,0.8099592143585719,2.794891286049246,0.012375720948801754,0.3192952980706895,0.3260554590009028,17.125622076805527,11,6,0.9561573610520071
DNAAF4,-0.5434077834453657,-2.794549660764682,0.012384638940071309,0.1146367256918801,0.14679898750373593,17.125622076805527,11,6,0.9561573610520071
DACT1,1.4008371092800471,2.7942772608519055,0.01239175426686512,1.061038212931563,0.9757336822510844,17.125622076805527,11,6,0.9561573610520071
KLF15,1.0396637444021386,2.7914186017239024,0.01246666288701749,0.5619089059370282,0.5385560094436175,17.125622076805527,11,6,0.9561573610520071
SLC46A3,0.4761442349648965,2.7889558577650697,0.012531546483375924,0.07622958684747072,0.11315892000239802,17.125622076805527,11,6,0.9561573610520071
DCLK2,-0.5682821083107232,-2.788593771836594,0.012541113402469252,0.13111553607652782,0.16123245769600955,17.125622076805527,11,6,0.9561573610520071
PYCARD,-0.818156437175551,-2.7881408144599695,0.012553091201763867,0.32870985655573326,0.334301488058552,17.125622076805527,11,6,0.9561573610520071
DUOX2,1.5055966241951513,2.779241526634803,0.01279066639417433,1.2478479072304296,1.1393566678521825,17.125622076805527,11,6,0.9561573610520071
MUC1,-1.0159108978512421,-2.777446961465081,0.012839095713725726,0.5400557551319533,0.5194152587832321,17.125622076805527,11,6,0.9561573610520071
