,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
LOC123385641,-0.4459473242897496,-0.9024378675008438,0.38599641509532545,0.7363861316605499,0.6659798255156066,11.095366218390911,5,6,0.6706185697317592
LOC123385657,-0.5412070712555025,-0.8964034083166799,0.38907230053100905,1.1409507296234151,0.9941421691461021,11.095366218390911,5,6,0.6728538267095859
LOC123385790,0.628509634499792,1.8028920421623154,0.09860242391244411,0.3239668626505206,0.33144616993081993,11.095366218390911,5,6,0.43018849897645994
LOC123385793,-0.41143228440805535,-1.5651586796864612,0.1456022954070688,0.14768518431296854,0.1884553867687249,11.095366218390911,5,6,0.4822554488272835
LOC123385824,0.08534213633206411,0.3841083276864774,0.7081574466226377,0.08133066036507276,0.13463195239292214,11.095366218390911,5,6,0.869694029951498
LOC123385825,-0.09082618952709876,-0.18275137547042009,0.8582895803511742,0.7458327624111604,0.673642454678272,11.095366218390911,5,6,0.9385566737595088
LOC123385868,-1.0055733837849856,-2.5112297075088437,0.028759337509994706,0.45447007532706174,0.43730377669841375,11.095366218390911,5,6,0.36294176705201325
LOC123385878,1.0201324127445779,1.0301048623161415,0.32489328483341107,3.212801636635467,2.6747228544596755,11.095366218390911,5,6,0.628572117608018
LOC123385907,-0.6465853029122126,-1.422825690966453,0.18228918795229032,0.6096999418015762,0.5632183946363909,11.095366218390911,5,6,0.5207508113901528
LOC123385946,0.1276423706203791,0.6127130596440143,0.5524172307118673,0.061269981663487086,0.11835974426922721,11.095366218390911,5,6,0.7789915050372278
LOC123385955,-0.49490324108175,-0.5228503494300968,0.6113598364439071,2.9277598214813567,2.443511348152222,11.095366218390911,5,6,0.8161067699139593
LOC123385984,-0.5365671007695387,-0.48656703017995284,0.6360338432052921,4.004102680616967,3.316586246406941,11.095366218390911,5,6,0.8308972915679835
LOC123386043,-0.28882368055318475,-0.5953722940329534,0.5635409941772247,0.7066081537486082,0.6418254356620069,11.095366218390911,5,6,0.7860054595195338
LOC123386050,-0.27060718348714563,-0.5805713859281517,0.5731320546787391,0.6458116323341765,0.5925103718813327,11.095366218390911,5,6,0.7923136364239965
LOC123386091,0.4116038424769224,0.9890651638983269,0.3437101313033706,0.49764041562714145,0.4723213736891928,11.095366218390911,5,6,0.6403095735171965
LOC123386096,-0.27868870818974223,-0.6788182731883089,0.5111640013765697,0.48206197303385295,0.45968492883645773,11.095366218390911,5,6,0.7538228156625163
LOC123386110,0.44948818903694376,0.8918944932587625,0.39138165606480646,0.7693134642002837,0.6926888125850377,11.095366218390911,5,6,0.6746250241398528
LOC123386139,0.9416592978649739,1.9029825944016958,0.08329821345854857,0.7386303051187411,0.6678001855403387,11.095366218390911,5,6,0.4228655134370381
LOC123386140,0.3713184452339511,0.5146330585449987,0.6169055374642844,1.665705869787314,1.419797002751045,11.095366218390911,5,6,0.8192613627949681
LOC123386183,0.7371537359007516,1.8802370508085124,0.0865711106387707,0.43214929240118694,0.41919828631812356,11.095366218390911,5,6,0.4230608540330776
LOC123386224,-0.5040645267752566,-1.325748088723438,0.2115705235841859,0.4014005513158547,0.394256462468336,11.095366218390911,5,6,0.5418968109901823
LOC123386232,0.49389589334398465,1.0808248371764175,0.30270782535615637,0.6174360009694002,0.5694934946321901,11.095366218390911,5,6,0.6108024031524132
LOC123386251,-0.2176440899693004,-0.35261290278993423,0.7309857562355944,1.196282904784729,1.039024831570204,11.095366218390911,5,6,0.8809387803376829
LOC123386257,2.5117500059599696,1.4300497134379528,0.18025353183651877,10.287729978334276,8.413546956520145,11.095366218390911,5,6,0.5186643155657488
LOC123386258,3.087337031307679,1.947357719667589,0.07723919584164618,8.36628017140926,6.854964038034642,11.095366218390911,5,6,0.4143884171378858
LOC123386262,3.6141555720542824,1.8322206536637904,0.0938712451660532,12.997706149237562,10.611742586845779,11.095366218390911,5,6,0.427675487599388
LOC123386266,2.656385933156842,1.7206455124686284,0.11304556639260019,7.928946003737189,6.500220676565006,11.095366218390911,5,6,0.44870519997342484
LOC123386272,1.7312281293605596,1.154130530004676,0.27270060117267403,7.480658918169663,6.1365928619715335,11.095366218390911,5,6,0.590372025373095
LOC123386299,2.4609634116585464,1.8965964017676824,0.0842054396274607,5.576288934121225,4.591864232101978,11.095366218390911,5,6,0.4228655134370381
LOC123386300,3.4518273459740887,2.1785431401445035,0.051793054854601304,8.35634617437667,6.846906081989432,11.095366218390911,5,6,0.38553952478933273
LOC123386301,3.3416143049160523,1.8996232787199205,0.08377431102727054,10.319474518142153,8.439296521937582,11.095366218390911,5,6,0.4228655134370381
LOC123386302,3.2804752872083287,1.7766811259807407,0.1030129476717301,11.37793086838132,9.297862788669967,11.095366218390911,5,6,0.4347331042206086
LOC123386305,2.434879234033767,1.7126592831360643,0.11454477176095623,6.711154186191674,5.512409536114061,11.095366218390911,5,6,0.44979403028120085
LOC123386307,2.9642519176937903,2.4517024131068426,0.03197728586965867,4.830341332335403,3.9867892590069474,11.095366218390911,5,6,0.36519203396444694
LOC123386308,2.0729109318504464,1.1016042334334608,0.29395688606624343,11.82058397574489,9.656920605046388,11.095366218390911,5,6,0.6073588530281028
LOC123386312,4.053945738624001,2.29171064028126,0.04245825693885707,10.436523032165075,8.534240357541691,11.095366218390911,5,6,0.3739885374874929
LOC123386406,-0.5540638961182047,-2.0924085728376864,0.06017538676287412,0.15110538047673247,0.19122967694247814,11.095366218390911,5,6,0.3946207435424805
