,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
LOC109495821,1.1668396203847269,1.051000293448908,0.3156016800573918,4.09260411527983,3.361593765296901,11.100032182358945,5,6,0.8259305842924356
LOC109495825,0.3747253728484179,0.34783726070639653,0.7344690261171187,3.850397098967503,3.165210267393593,11.100032182358945,5,6,0.9534265857114951
LOC109495829,-1.3577366607972956,-3.5785124830312918,0.004270016985082052,0.43083930536669846,0.3926038787996084,11.100032182358945,5,6,0.4593041911210709
LOC109495842,-1.1170413940586683,-1.8640359374658801,0.08896269491738178,1.154552285984399,0.9793964861139319,11.100032182358945,5,6,0.6425423537570896
LOC109495849,-0.08413163582969896,-0.3402065750717295,0.7400520282790024,0.15233084037674424,0.16678685919733746,11.100032182358945,5,6,0.9554022159652955
LOC109495957,0.3484076482008456,1.356039067155776,0.20203065536381232,0.16867158218357817,0.18003607089739324,11.100032182358945,5,6,0.7619520338196193
LOC109495967,0.08049281657185947,0.42138480376200543,0.6815185366887333,0.06936099320726262,0.09951420518538828,11.100032182358945,5,6,0.9447094033380372
LOC109496004,-0.9461101517448554,-2.0605265356259372,0.06358064197549285,0.6557750993362591,0.574983723512439,11.100032182358945,5,6,0.6108434062764636
LOC109496027,1.0637450933887456,1.7117994292796939,0.11469568208814077,1.245538314222416,1.053168727553337,11.100032182358945,5,6,0.6783891892682063
LOC109496196,-1.6426671876901993,-3.7977086833643288,0.0029084535092727816,0.57593867428186,0.5102516746602261,11.100032182358945,5,6,0.43372609554783853
LOC109496206,0.769648529084324,2.613826549799567,0.023934206139748147,0.23826280189972535,0.23646122058666383,11.100032182358945,5,6,0.5041115679204511
LOC109496238,-1.1253582069724386,-1.3758015116203959,0.1960078350077748,2.1971330901529,1.8247298223928194,11.100032182358945,5,6,0.7533794871716197
LOC109496281,-0.5367319924574174,-0.8600447346421699,0.4079562267982375,1.2566623009913132,1.0621881501347585,11.100032182358945,5,6,0.8695099509107446
LOC109496337,-0.4016335937364564,-0.3213166503133315,0.7539395884026215,5.202003726748759,4.2611043558237185,11.100032182358945,5,6,0.958281174442706
LOC109496406,-0.6115507802035318,-2.161047890458982,0.05339048369868783,0.21599480009521996,0.21840613633573172,11.100032182358945,5,6,0.5954845320538921
LOC109496448,-0.1314779474882526,-0.28544361671665386,0.7805603695055986,0.6602603282142641,0.5786203850318712,11.100032182358945,5,6,0.9631837079540773
LOC109496453,-0.0574987847414028,-0.20823676350250603,0.8388157971782625,0.2030824244668221,0.20793667293721357,11.100032182358945,5,6,0.9746442084475873
LOC109496524,0.16110760440547534,0.6328551514209143,0.5396468726364628,0.16461502916332774,0.17674698339003653,11.100032182358945,5,6,0.9131594432583392
LOC109496543,7.286590864925189,2.8012496710235326,0.01710167251175796,22.70574463090206,18.453285562986775,11.100032182358945,5,6,0.49149323083798163
LOC109496556,-0.3670873758886808,-0.5873491616215661,0.5687242151669907,1.2605088370069455,1.065306954078022,11.100032182358945,5,6,0.9210253446731345
LOC109496586,-0.7238200219784283,-1.3512933057666512,0.20349965234463138,0.9117262648096036,0.7825110938313379,11.100032182358945,5,6,0.7627355210559319
LOC109496611,-0.13155612130042615,-0.3422085170878887,0.7385857771990019,0.44373449478880606,0.4030594074766707,11.100032182358945,5,6,0.9551580728634373
LOC109496699,-0.17858088086333668,-0.5807283408713115,0.5730250899721399,0.26470485048964437,0.25790065728374706,11.100032182358945,5,6,0.9217820698709107
LOC109496736,-0.7115066448335776,-0.8631026776292781,0.4063436701121662,2.232453096472554,1.8533675823249112,11.100032182358945,5,6,0.8693363250681995
LOC109496743,-1.4437477585833136,-1.4378002357662214,0.1780795929996708,3.3381578572187527,2.749882356627211,11.100032182358945,5,6,0.7379232754184273
LOC109496912,0.49077437463918466,1.0754663965309692,0.30498682930834126,0.6470816519647169,0.5679350028368154,11.100032182358945,5,6,0.820366442990101
LOC109496940,0.032609845026910556,0.15456152028351036,0.8799415572738731,0.09635513450085992,0.12140128331733162,11.100032182358945,5,6,0.981773599097445
LOC109496942,-1.6615953718214744,-1.254448644255311,0.23545102639818608,5.84802672908594,4.784905271489082,11.100032182358945,5,6,0.778980911129718
LOC109496970,0.4078788399779505,0.5516997238820637,0.5920873689656225,1.7851411897978617,1.4906833041234153,11.100032182358945,5,6,0.924383648959256
LOC109496991,-1.161055701876199,-1.8726571274244401,0.08767657451077951,1.239630466202795,1.04837859439849,11.100032182358945,5,6,0.6374800135926418
LOC109497006,-0.3016714992509497,-1.2045408014006143,0.2534357137999271,0.15760379974193783,0.17106221926000148,11.100032182358945,5,6,0.7930589996660268
LOC109497182,-0.22164906780607563,-0.23849079113059848,0.8158461237386037,2.8519793249304604,2.3556846895656056,11.100032182358945,5,6,0.9699277398683465
LOC109497259,-0.2522681902413073,-1.1350503966574639,0.28026984867334587,0.11277822844540562,0.13471726682734517,11.100032182358945,5,6,0.8075630306582952
LOC109497329,-0.40514428827873905,-1.0400180554677154,0.3204554480665188,0.4570703074956751,0.41387219724070134,11.100032182358945,5,6,0.828078561215516
LOC109497339,0.4152104716046382,1.7187798212329768,0.11338266338653082,0.14292016899197377,0.1591566072240558,11.100032182358945,5,6,0.6752424580450688
LOC109497364,0.611835367512211,2.0984534094787506,0.059537271010777486,0.23257032150668838,0.2318457093254663,11.100032182358945,5,6,0.6026713562785175
LOC109497366,-0.6993922801632355,-0.6391999113278463,0.5356609058930577,3.973597937352851,3.2651025494385353,11.100032182358945,5,6,0.9121691121891069
LOC109497369,-0.9233436425680739,-2.9523114716393666,0.013038231159540755,0.27563916189413273,0.26676628947504777,11.100032182358945,5,6,0.46669247911978123
LOC109497400,-2.065893104224831,-2.0786660019184677,0.06161557887516898,3.2690619947491566,2.693858846784178,11.100032182358945,5,6,0.606970106156427
LOC109497441,-1.215859957594825,-1.4451233838516102,0.1760564681788945,2.3276711742664427,1.9305712053474597,11.100032182358945,5,6,0.7336333834925622
LOC109497511,-0.39187457924003,-1.4540652163793488,0.17361265360590647,0.19093390098227786,0.19808654731913972,11.100032182358945,5,6,0.7323088042680598
LOC109497596,0.33315419386651657,0.40790622604358684,0.6910998996495934,2.1904060710999183,1.8192754984339166,11.100032182358945,5,6,0.9473137123634472
LOC109497599,-0.2978415890388648,-1.0845007568294394,0.3011361021737393,0.20032691391851912,0.20570248167296296,11.100032182358945,5,6,0.8166522784375454
LOC109497614,-1.0642195437070963,-1.1073407488407894,0.29156577655764937,3.053404263983872,2.5190017342100157,11.100032182358945,5,6,0.8159622589193318
LOC109497680,0.1509556891974846,0.5519564381155789,0.5919173445920117,0.19822009295253165,0.2039942534099835,11.100032182358945,5,6,0.924383648959256
LOC109497687,0.482961328710519,1.0285526541125973,0.3255818477469913,0.6882473417944825,0.6013124924135308,11.100032182358945,5,6,0.8295028597998402
LOC109497727,0.02198606032290573,0.07919088193969566,0.9382904387493527,0.20589794430195166,0.2102195202389032,11.100032182358945,5,6,0.9913172893401722
LOC109497867,-0.6373110067151788,-2.289175809476535,0.04263918239917759,0.20733474051589418,0.21138448676449884,11.100032182358945,5,6,0.5712950801304579
LOC109497966,-0.9247089181503134,-1.9430703968054615,0.07779529595971321,0.7084305757401198,0.6176772292473056,11.100032182358945,5,6,0.6308671608799616
LOC109497987,-3.298402013071063,-2.566422755488282,0.026052449860876008,5.502611611041993,4.504839771558715,11.100032182358945,5,6,0.5062563884009034
LOC109498057,0.05395318537706584,0.134166869822865,0.8956723797116865,0.49057009150228026,0.4410341055222477,11.100032182358945,5,6,0.9832462319677161
LOC109498113,-1.0974523416115045,-2.516948992059439,0.028459470635956448,0.5861150532688966,0.5185027688353303,11.100032182358945,5,6,0.523182330533999
LOC109498119,0.006731886768598594,0.020411482109131445,0.9840774193752428,0.3125032085443859,0.29665597036980806,11.100032182358945,5,6,0.9979359914273823
LOC109498146,0.7030448711869103,1.0109030229317673,0.33359167518151556,1.5735134788916116,1.3190937657450243,11.100032182358945,5,6,0.8353371735504285
LOC109498181,-1.293339386571045,-3.6635159749676354,0.00367724588648444,0.3658436826843091,0.3399048780641718,11.100032182358945,5,6,0.44645662632411315
LOC109498210,0.017077117344054482,0.0895763988472734,0.9302197086939199,0.06887739612930316,0.09912210058333568,11.100032182358945,5,6,0.9911522453797703
LOC109498222,-0.6898073675254195,-1.256791137605483,0.23463276647428016,0.9599304020217782,0.8215954160911472,11.100032182358945,5,6,0.7782966376978041
LOC109498252,-2.045317821553363,-1.037235365080763,0.32169408867063887,13.025708716035776,10.604630549872926,11.100032182358945,5,6,0.8283566424809128
LOC109498267,-0.23986762199150746,-1.3459303835714396,0.20517033134963628,0.05346017391388027,0.0866216863809943,11.100032182358945,5,6,0.7639454042262429
LOC109498383,-2.711867897348177,-3.396931191215792,0.005887939415872371,2.09037507408912,1.7381695197928835,11.100032182358945,5,6,0.4593041911210709
LOC109498393,0.10733574856330685,0.23987906275944673,0.8147962454958526,0.6200904583892805,0.5460503147396947,11.100032182358945,5,6,0.969706495246805
LOC109498394,-0.15669689383918461,-0.24686998819130954,0.8095151716757684,1.3017986411699947,1.098785076606174,11.100032182358945,5,6,0.9690121098229715
LOC109498399,-1.5506016426848657,-3.1679060144754354,0.008858071042250035,0.7524986998386516,0.6534080370838014,11.100032182358945,5,6,0.46029220863575887
LOC109498428,1.5787241239893564,1.698454666850765,0.11724379100619305,2.8527553245105164,2.356313876590091,11.100032182358945,5,6,0.6829285518236099
LOC109498429,1.9469821124499298,2.292467631360998,0.04239236645173413,2.3728331440094887,1.967188912486489,11.100032182358945,5,6,0.5701701981619586
LOC109498438,1.1701200577510402,1.4739042158947366,0.1682935741821049,2.0666106486267752,1.7189011225803945,11.100032182358945,5,6,0.7295625759428077
LOC109498466,0.16863636963178963,0.461174719286437,0.6535784855345115,0.39638745975200307,0.36467003091175804,11.100032182358945,5,6,0.9397997741950358
LOC109498475,-0.17674765877837784,-0.3535351080903024,0.7303105772803056,0.7873487006535491,0.6816647125763783,11.100032182358945,5,6,0.9525684177748407
LOC109498488,-0.06999025447104357,-0.12702015759256133,0.9011962463784691,0.9678954493157552,0.8280535438215983,11.100032182358945,5,6,0.9841359166516517
LOC109498674,0.47315161559618757,0.8365673831057495,0.4204810477556815,1.0226185863042194,0.8724235262509206,11.100032182358945,5,6,0.8758829988538842
LOC109498725,0.19352504301772688,1.0262891035580046,0.3266010730638771,0.06623031418130308,0.09697582414551927,11.100032182358945,5,6,0.8305907921288552
LOC109498746,0.4189912966640157,1.532621159336826,0.15336122975132982,0.19801799622561916,0.20383039167405959,11.100032182358945,5,6,0.7215005227688651
LOC109498791,0.0019349915530577633,0.008771045843616801,0.9931574638762122,0.11033286038144915,0.13273454171321572,11.100032182358945,5,6,0.9989434491957339
LOC109499174,-2.4797134235140454,-2.2503104416934527,0.0456595913797613,4.031027822570201,3.3116671862309945,11.100032182358945,5,6,0.5803351606777833
LOC109499203,-0.44797358699081996,-1.1954120648394975,0.2568405730380955,0.4189937723276096,0.38299942039801627,11.100032182358945,5,6,0.7949978482073603
LOC109499248,-2.0004154579948277,-1.7470108147643508,0.10820890864267342,4.356838940660779,3.5758375971488516,11.100032182358945,5,6,0.6691934831002764
LOC109499284,-0.3512829720376027,-0.34634645426390265,0.7355585319218756,3.4068408037354367,2.805571070722343,11.100032182358945,5,6,0.9536026561527078
LOC109499301,-0.20714367609849926,-0.44025806112582677,0.6682004583294853,0.6912538687360308,0.6037502098930294,11.100032182358945,5,6,0.9413547318475743
LOC109499313,0.05769620359062033,0.26954109931126785,0.7924582329540917,0.10074495418493393,0.12496058625516056,11.100032182358945,5,6,0.9657926292486329
LOC109499513,-0.23587219865319298,-0.9980640867746556,0.33950869580056775,0.13449191572278696,0.15232290817017066,11.100032182358945,5,6,0.837230326074111
LOC109499652,0.44666060666745366,0.8714620207740341,0.40195766833540114,0.8302528276213442,0.7164517416918287,11.100032182358945,5,6,0.867860463325241
LOC109499722,-1.342603441736935,-1.0605259013556865,0.31143642249649783,5.337550965663935,4.371007203869095,11.100032182358945,5,6,0.8244763216594967
LOC109499783,-0.7454436546299505,-1.4010317545040165,0.18853717729723873,0.8988611111314982,0.7720799183896156,11.100032182358945,5,6,0.7455986692474977
LOC109499905,-1.7008216111397911,-3.2982695049543107,0.007018002527497502,0.8410753837764314,0.7252267617814628,11.100032182358945,5,6,0.4593041911210709
LOC109499916,0.08242027001799479,0.08270706324196563,0.935557108133025,3.286985598584055,2.7083914564076395,11.100032182358945,5,6,0.9911522453797703
