feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
ABHD4,0.4795583435909805,0.028240264017991217,0.16474746303502938,0.6195702856707586,0.018548287675191434,0.154319731845857,0.14001194207977807,0.5265079302561073,True,other,0.7740176614051165
ABHD5,-1.0416895743780055,0.12011966312304859,0.3315016082609513,0.12707476142621932,0.8705389151511747,0.9368756250960795,1.1687643358042248,0.08125213123115076,True,other,-8.197454495972588
ABHD6,-0.3470960215512653,0.1366676857825126,0.3547875461386873,-0.8949620206611328,0.006989269933655471,0.10339649619875782,-0.5478659991098676,0.03503040559079138,True,other,0.38783324156577725
ABHD8,0.09639244834912031,0.7019187619205224,0.8456778545106803,0.7557751108050352,0.06522597031595025,0.26225191284385047,0.6593826624559149,0.06327064805367916,True,other,0.12754117854773647
ABI1,0.013926368410198009,0.9351826852834457,0.967485985517566,-0.1085777809958639,0.7173742302952585,0.8444926385040555,-0.12250414940606191,0.6823558026294643,False,other,-0.12826167824085954
ABI2,0.03948775660350101,0.8590495445248552,0.9314708378026252,-0.40508548521133747,0.1519539926405257,0.39042100397894747,-0.4445732418148385,0.11877571673980768,True,other,-0.09748005802503593
ABI3,1.266680419518528,0.013668202220743473,0.12947550605426467,1.4274147939746462,0.005259696397652442,0.09441666767652288,0.16073437445611827,0.7520178468060084,False,other,0.8873947677055019
ABI3BP,-1.3205480161070535,0.1555261695782751,0.3799229267837376,-1.5802665290587945,0.15103246787653052,0.3893073107824517,-0.259718512951741,0.8207894230160513,False,other,0.8356489185995548
ABITRAM,-0.14554771972548597,0.563494664641169,0.7560971212055482,0.07306316165136817,0.8087997560000106,0.9021857315418106,0.21861088137685414,0.29709665515149536,True,other,-1.9920807755348549
ABL1,0.28598276283179835,0.13160978325236988,0.3491375431648881,0.08327139774183312,0.7287810683056413,0.852066082376436,-0.20271136508996523,0.3682842370252697,True,other,3.4343456527345997
ABL2,0.047263159317722625,0.9025396401839391,0.9523168627194829,-0.8896287945893127,0.05456768239328025,0.2438059136957008,-0.9368919539070353,0.08355548535447627,True,other,-0.05312683178104767
ABLIM1,-0.17143151458713035,0.4344004949408422,0.6604637012280518,-0.42544825374115547,0.2191183438427749,0.4669569731222284,-0.2540167391540251,0.4598192353806081,True,other,0.40294327942271924
ABLIM2,-0.7427116732949957,0.02293680533736595,0.154934509111513,-0.6429040073949119,0.06540848352827132,0.26225191284385047,0.09980766590008372,0.7547264958760428,False,other,1.155245051752766
ABLIM3,-0.35532600453840146,0.44963211084113963,0.672889653234997,0.28600657211765235,0.6899347958669908,0.8260546318873083,0.6413325766560538,0.31698506931418013,True,other,-1.2423700683081986
ABR,0.07199916179931876,0.6587015221498345,0.820662325661949,-0.0625943198702048,0.7600401608132672,0.8736294862003015,-0.13459348166952356,0.5220519909078848,True,other,-1.1502507248040361
ABRACL,-1.031207979132608,0.14459772701300233,0.36592092002319043,0.19104577975890713,0.7903950122254537,0.8914318388084056,1.2222537588915152,0.028396804232277268,True,other,-5.397700909352488
