dataset,term,z,mean_lfc,n_genes
cat_rna_ctx_late,Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),2.1294045637583343,0.755502007647988,14
cat_rna_ctx_late,Adenine Nucleotide Transport (GO:0051503),0.17672423873873852,0.06213917618885617,17
cat_rna_ctx_late,Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),2.6855513197911676,0.36483187050551447,65
cat_rna_ctx_late,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),2.441175085276175,0.4857621097043849,22
cat_rna_ctx_late,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),4.245615321332617,0.4843258965376222,95
cat_rna_ctx_late,Adherens Junction Organization (GO:0034332),0.6991184517275426,0.12318961699321632,23
cat_rna_ctx_late,Adipose Tissue Development (GO:0060612),1.1070872473964086,0.3011056500416479,10
cat_rna_ctx_late,Adrenergic Receptor Signaling Pathway (GO:0071875),-1.4929407779063515,-0.299242353409766,10
cat_rna_ctx_late,Aerobic Electron Transport Chain (GO:0019646),-7.675369765581592,-0.49926817291306247,52
cat_rna_ctx_late,Aerobic Respiration (GO:0009060),-7.970706638896,-0.4948125748695239,56
cat_rna_ctx_late,Alpha-Amino Acid Catabolic Process (GO:1901606),-5.65673617530917,-0.9351427123468219,26
cat_rna_ctx_late,Alpha-Amino Acid Metabolic Process (GO:1901605),-4.692241535134327,-0.7839292893832306,26
cat_rna_ctx_late,"Alternative mRNA Splicing, Via Spliceosome (GO:0000380)",-0.28726882948116034,-0.037991569874987884,15
cat_rna_ctx_late,Ameboidal-Type Cell Migration (GO:0001667),1.5808740652974536,0.3456999339194808,18
cat_rna_ctx_late,Amide Biosynthetic Process (GO:0043604),-1.5498302554005485,-0.20211295841919746,34
cat_rna_ctx_late,Amide Transport (GO:0042886),-0.6859831299261842,-0.06316627327009976,25
cat_rna_ctx_late,Amino Acid Catabolic Process (GO:0009063),-6.592877072561972,-0.9107516356464258,32
cat_rna_ctx_late,Amino Acid Import Across Plasma Membrane (GO:0089718),1.4311402059639424,0.4364827496322114,19
cat_rna_ctx_late,Amino Acid Transmembrane Transport (GO:0003333),-1.5091091609954304,-0.07660350492758843,33
cat_rna_ctx_late,Amino Acid Transport (GO:0006865),0.25660435424475436,0.02057981604765582,36
cat_rna_ctx_late,Aminoglycan Biosynthetic Process (GO:0006023),0.7850127843174258,0.11902091066691056,17
cat_rna_ctx_late,Amyloid Fibril Formation (GO:1990000),0.746482269781121,0.1800090817482048,19
