gene,rho_time,amplitude,group,is_monotonic
Rpap2,0.26666666666666666,0.7360600585445449,non_monotonic,False
Evi5,0.39999999999999997,1.774182974254641,non_monotonic,False
Rpl5,0.26666666666666666,1.0809032307643607,non_monotonic,False
Gm22270,-0.08333333333333334,1.0665320256279789,non_monotonic,False
Gm26387,0.09999999999999999,0.8208867404872748,non_monotonic,False
Fam69a,0.26666666666666666,0.5920639588183314,non_monotonic,False
Mtf2,0.39999999999999997,0.8802366276983429,non_monotonic,False
Tmed5,-0.2833333333333333,1.7772926748055622,non_monotonic,False
Dr1,0.39999999999999997,0.37007497657819854,non_monotonic,False
Pigg,0.11666666666666665,0.4556150070966307,non_monotonic,False
Atp5k,-0.09999999999999999,1.1513236785828385,non_monotonic,False
Mfsd7a,0.5833333333333334,0.6481032503474183,non_monotonic,False
Pcgf3,0.38333333333333336,0.8050858122603417,non_monotonic,False
Gak,0.18333333333333335,0.5340924713452502,non_monotonic,False
Tmem175,0.5333333333333333,0.7841433862321092,non_monotonic,False
Dgkq,-0.35,0.6421873953963639,non_monotonic,False
Idua,0.5666666666666667,0.7157161324830292,non_monotonic,False
Slc26a1,-0.19999999999999998,2.70255667281349,non_monotonic,False
Fgfrl1,0.38333333333333336,0.5961068918536276,non_monotonic,False
Crlf2,0.2833333333333333,1.5483420389054188,non_monotonic,False
4930522L14Rik,0.2333333333333333,1.142608435428158,non_monotonic,False
Gm26779,0.43333333333333335,0.9491064669637107,non_monotonic,False
Gm26808,0.03333333333333333,0.855597648905578,non_monotonic,False
Zfp932,0.21666666666666667,1.5281625887678083,non_monotonic,False
Gm17655,0.38333333333333336,1.0133103000562358,non_monotonic,False
Plcxd1,-0.08333333333333334,0.7084433795991911,non_monotonic,False
Gtpbp6,-0.2833333333333333,0.5974282515675693,non_monotonic,False
Zfp605,0.41666666666666663,0.8849224272095266,non_monotonic,False
Chfr,0.3666666666666667,0.9586266832546153,non_monotonic,False
Golga3,0.41666666666666663,0.5795995716086155,non_monotonic,False
Ankle2,0.6166666666666666,0.5178975705485405,non_monotonic,False
Pgam5,-0.48333333333333334,0.4717246880100614,non_monotonic,False
Gm15788,0.06666666666666667,0.7805238907620736,non_monotonic,False
Pxmp2,-0.25,1.365100871183074,non_monotonic,False
Pole,0.06666666666666667,1.5597174512369176,non_monotonic,False
Fbrsl1,-0.35,0.56802952608993,non_monotonic,False
Noc4l,-0.35,1.0108915310566045,non_monotonic,False
Ddx51,0.18333333333333335,0.48993690206814833,non_monotonic,False
Ep400,-0.016666666666666666,0.8393655572224068,non_monotonic,False
Pus1,-0.2333333333333333,0.5370126202520802,non_monotonic,False
Ulk1,-0.06666666666666667,0.8166395202928172,non_monotonic,False
Hscb,0.5499999999999999,0.47099979250526225,non_monotonic,False
Chek2,0.11666666666666665,1.5928499211837768,non_monotonic,False
Ttc28,0.26666666666666666,0.9860312836415379,non_monotonic,False
Pitpnb,0.11666666666666665,0.5781750563891155,non_monotonic,False
Tpst2,0.26666666666666666,0.4739655264710416,non_monotonic,False
Tfip11,-0.19999999999999998,0.46987833146995994,non_monotonic,False
Srrd,-0.3,0.36108747812799225,non_monotonic,False
Hps4,0.25,0.8621120277873295,non_monotonic,False
Adrbk2,0.6333333333333333,0.653026306888332,non_monotonic,False
2900026A02Rik,0.3,0.9296278177278685,non_monotonic,False
Sgsm1,0.11666666666666665,0.3925180523838815,non_monotonic,False
Wscd2,0.21666666666666667,0.7678583278775564,non_monotonic,False
Cmklr1,0.7166666666666667,1.5431340502853022,monotonic_up,True
Ficd,0.26666666666666666,0.5663363946982831,non_monotonic,False
Sart3,0.15,0.5500212461210308,non_monotonic,False
Iscu,-0.06666666666666667,0.7024158580598563,non_monotonic,False
Tmem119,0.45,1.607305610260711,non_monotonic,False
Selplg,0.9333333333333332,2.0108260916274254,monotonic_up,True
Coro1c,-0.18333333333333335,1.2551592776255438,non_monotonic,False
Ssh1,0.33333333333333337,0.600344165716787,non_monotonic,False
Dao,-0.11666666666666665,1.8801495967485895,non_monotonic,False
Usp30,0.48333333333333334,0.5182786529955861,non_monotonic,False
Alkbh2,0.049999999999999996,0.8407380603181642,non_monotonic,False
Ung,-0.16666666666666669,1.6674468390824584,non_monotonic,False
Acacb,-0.45,1.0907601536713,non_monotonic,False
Kctd10,0.08333333333333334,0.777814182069513,non_monotonic,False
Ube3b,0.25,0.5570716419047885,non_monotonic,False
Mir7027,0.15,1.1423201444694238,non_monotonic,False
Mmab,0.43333333333333335,1.0077141896296262,non_monotonic,False
Mvk,0.06666666666666667,0.8415502312032457,non_monotonic,False
Fam222a,-0.19999999999999998,0.9982780800282636,non_monotonic,False
Trpv4,-0.7166666666666667,1.0142962444891852,monotonic_down,True
Gltp,0.08333333333333334,0.5929781067073163,non_monotonic,False
Tchp,0.6,0.916719865522249,non_monotonic,False
Git2,0.6166666666666666,0.9504998645559493,non_monotonic,False
Ankrd13a,0.2833333333333333,0.6208569747610078,non_monotonic,False
1500011B03Rik,0.41666666666666663,0.7554972728326721,non_monotonic,False
2610524H06Rik,0.35,1.7935218511050108,non_monotonic,False
Oasl2,0.7666666666666667,2.141400481134103,monotonic_up,True
