,lfc,t,p,s2,s2_post,df_total,n_a,n_b,q
Plekhb2,-0.31932988230098314,-1.5661251202968887,0.13970729015263916,0.12916425949091545,0.11512916612143714,13.955855331682496,4,9,0.32364217240003695
Hs6st1,-0.6408663163436144,-4.633272822681042,0.0003903260231948412,0.05031571590282485,0.052980773288790015,13.955855331682496,4,9,0.017103196169219955
Uggt1,-0.06179885116256356,-0.6056363422136127,0.554478625378193,0.01967962257311865,0.02883341588091265,13.955855331682496,4,9,0.7198171458494543
Neurl3,0.3986014257253321,2.0772099478568213,0.056730609425965646,0.11247012306393059,0.10197085397700373,13.955855331682496,4,9,0.1959107342934728
Arid5a,0.3148819743057404,1.4513239473643442,0.16879611064953023,0.14848085451435508,0.13035449915963934,13.955855331682496,4,9,0.3598498197255836
Kansl3,0.03474756816448643,0.3337140653147524,0.7435565941348143,0.021189291888176653,0.030023336675515492,13.955855331682496,4,9,0.8514352736542947
Fer1l5,-0.2797691114957106,-2.3642229243149697,0.033105605548197484,0.03229605145460859,0.03877768044929995,13.955855331682496,4,9,0.1494809711115277
Lman2l,-0.3299264686201364,-2.4222953136448133,0.02962612805147825,0.04827656556318533,0.05137351574685256,13.955855331682496,4,9,0.141798733533664
Cnnm4,-0.09641523011463793,-0.7413076887891715,0.4707979688303907,0.04252982986791929,0.0468439408017456,13.955855331682496,4,9,0.6540490124915931
Cnnm3,0.008424931616902942,0.057513898675957645,0.9549512038991039,0.05848762393275208,0.05942186816923991,13.955855331682496,4,9,0.9768280468647625
Ankrd39,0.08752536081122941,0.7579182238686311,0.4611073805318988,0.029952192628573262,0.03693025179131885,13.955855331682496,4,9,0.6464321857969068
Sema4c,0.10667183005201153,0.562672792046368,0.5825842630396274,0.10937128524510414,0.09952835115672111,13.955855331682496,4,9,0.7400338845066295
Cox5b,0.2244528560356791,1.3458733996509715,0.19980093529805182,0.08081405680394577,0.07701955428351138,13.955855331682496,4,9,0.39848753047137336
Actr1b,-0.03554222999966772,-0.4619682332743526,0.6512233639635739,0.003894654954480888,0.016391710254254916,13.955855331682496,4,9,0.7902405977571736
Zap70,0.8869289809169871,4.6802185108234875,0.00035714091836362434,0.10927181988272192,0.09944995259495608,13.955855331682496,4,9,0.016301967494375413
Tmem131,-0.4223715489559976,-2.1047270722778806,0.053920482237003596,0.1245866036227092,0.11152105946272486,13.955855331682496,4,9,0.19093246546417703
Inpp4a,0.22742593332209005,2.1009609879802165,0.05429733056275861,0.02426693828815278,0.03244913642731444,13.955855331682496,4,9,0.19177721710239962
Coa5,-0.1096223594161696,-1.176818828524868,0.2589501440683161,0.01358436954265848,0.02402913970137599,13.955855331682496,4,9,0.46261197014526173
Unc50,0.04488639363844449,0.5617809902111299,0.58317541278523,0.0055276924499804625,0.0176788698029581,13.955855331682496,4,9,0.7402294328175475
Mgat4a,0.021448061563012377,0.13915207294527207,0.8913180862311794,0.06656619324133074,0.06578939350411682,13.955855331682496,4,9,0.9432844735557039
Tsga10,-0.11548211358399607,-0.6346413975438646,0.5359283568401272,0.09942929100822985,0.09169207498399921,13.955855331682496,4,9,0.7054486009367992
Lipt1,-0.06663002511813199,-0.7166056204765958,0.48543782069841945,0.013472293369838555,0.0239408013034979,13.955855331682496,4,9,0.6663657796796693
Mitd1,0.19288650638400373,2.1645627711401056,0.04824926971102576,0.010997107165395053,0.021989860454529095,13.955855331682496,4,9,0.1807687354138718
Mrpl30,0.16251954411892822,1.252420111803748,0.23099855014839107,0.04225906188322377,0.04663052157656281,13.955855331682496,4,9,0.433224169697959
Txndc9,-0.09953870960155431,-1.203879972199403,0.24865870500712547,0.007116466151066666,0.018931140645310065,13.955855331682496,4,9,0.4523255985587934
Eif5b,0.19998400990581455,1.5604498500748425,0.14103805295666544,0.04080331245342084,0.045483100415533786,13.955855331682496,4,9,0.32516295013929547
Rev1,0.07161783220633078,0.4821330944683426,0.6371851593138458,0.06062140480663348,0.06110371346319408,13.955855331682496,4,9,0.7801419854259822
Pdcl3,0.04634110855554807,0.5651760634587784,0.5809265779130499,0.0067187145924358345,0.018617633014215148,13.955855331682496,4,9,0.7385597378270335
Npas2,-0.35038849554623286,-2.3878484080081708,0.031645601728519296,0.05874828890497296,0.05962732420373464,13.955855331682496,4,9,0.14597185872116725
Rpl31,0.48815885757215494,2.3492242191147317,0.03406542123378695,0.13480201579752202,0.11957284355279353,13.955855331682496,4,9,0.15154537138265667
Tbc1d8,0.4103419683533771,4.26618289630331,0.0007885046988009809,0.015602189369278919,0.025619584540857488,13.955855331682496,4,9,0.024691120081285264
Cnot11,0.03757793651181629,0.3620031416966273,0.7227723105400325,0.020956821433951014,0.02984010354965493,13.955855331682496,4,9,0.837617620658995
Gm15832,0.3493170272384436,2.562973774696022,0.022586133487488672,0.048362323894694796,0.05144111043196387,13.955855331682496,4,9,0.12334978979369522
Snord89,-0.6121256151010644,-2.9571462924292833,0.010426973773498386,0.13364051290270387,0.11865734740158347,13.955855331682496,4,9,0.08455550985493339
Rnf149,-0.7725400686199917,-3.084565633799633,0.008101487064968054,0.20348066586550442,0.1737053300821397,13.955855331682496,4,9,0.07387202195678648
Map4k4,0.045286190117491465,0.29783415274521835,0.7702175060064997,0.06432621186442374,0.06402384101303876,13.955855331682496,4,9,0.8684907762584593
Il1r2,0.24188024809778302,1.693256196085226,0.11259930668833566,0.05479153011383493,0.05650860839104564,13.955855331682496,4,9,0.28653899205983324
Il1r1,0.09590717915129399,0.4437015294134019,0.6640599849060667,0.14724917493775114,0.12938368977385517,13.955855331682496,4,9,0.7999796653872984
Il1rl2,0.3849895733694476,2.226040451747332,0.043004832739955506,0.0881866542869692,0.08283063288713866,13.955855331682496,4,9,0.1694848604051007
