feature,lfc_early,p_early,q_early,lfc_late,p_late,q_late,lfc_prog,p_prog,prog_sign_stable,class,ratio_early_late
ABCC11,0.5245086800279646,0.5048103245324755,0.7599341990780369,1.146665686841077,0.21277287850115162,0.3679142034486869,0.6221570068131124,0.4648745643224974,True,other,0.4574207513551064
ABCC2,-0.9402493238318095,0.10728495666888092,0.4630350984096735,-1.4864684710549927,0.002981925033474951,0.023607444950313278,-0.5462191472231832,0.17800054874310592,True,early_onset,0.6325390293441511
ABCC4,-0.2720881400139148,0.3250683416305836,0.6439424875527692,0.16748824017355712,0.539492911281749,0.6857841045828958,0.4395763801874719,0.17705266997622768,True,other,-1.6245208602822958
ABCC5,0.19127612188946586,0.3819377615522058,0.6816653098202599,0.38864166507213227,0.08663397181524653,0.19573721685744513,0.19736554318266641,0.37206449397247476,True,other,0.49216576368353304
ABCC6,-0.47159295974995263,0.08933807855698601,0.43844748530427236,-0.8756805618949284,0.004835892559594142,0.030933372697500003,-0.40408760214497574,0.16260848789249102,True,early_onset,0.5385445107168411
ABCC9,-0.02363188532246685,0.9472240378719874,0.9796884651957901,-0.19238093017314473,0.5625717676547379,0.7036908354555054,-0.16874904485067788,0.6710055811410662,True,other,0.12283902204442988
ABCD1,-0.1608196714092074,0.5014676861664668,0.7578348489072969,-0.47773958805512784,0.06627045632270992,0.16305524489730916,-0.31691991664592045,0.1355654692469277,True,other,0.3366262194512754
ABCD3,-0.711445859955047,0.10709310950390385,0.4630350984096735,-0.8257863267090277,0.014551360742308042,0.05973944820737792,-0.11434046675398069,0.7930937618650367,False,other,0.8615374667080563
ABCD4,-0.2838128264857991,0.08863829539551044,0.4368793157474121,-0.14383155723669905,0.3054491808816731,0.47303717452223126,0.13998126924910004,0.29946148873794504,True,other,1.9732305756707986
ABCE1,-0.05817839306928363,0.8033838400140947,0.9191725365424755,0.076783743589667,0.6724739525687988,0.7888576666768418,0.13496213665895063,0.5301217160653451,True,other,-0.7576915418475748
ABCF1,0.0919014780809766,0.5372990320742329,0.7802349141720235,0.13954079070678826,0.2977427729313362,0.464903266278416,0.04763931262581167,0.7468521882396595,True,other,0.6585993788302781
ABCF2,0.2590528469328399,0.0967013188715064,0.4463859680648934,0.20352030664498866,0.16899645140104255,0.31270639333997724,-0.05553254028785126,0.6496817283161505,True,other,1.2728599479987992
ABCF3,0.02005703224059019,0.8847342538357391,0.9550139033439612,-0.08657011994654695,0.5356144077028524,0.6829985405968444,-0.10662715218713714,0.37801297934033296,True,other,-0.23168539275415673
ABCG1,1.4799791623887857,0.01242291376378659,0.2658250618472416,1.9629418471635725,0.0004351010559608045,0.009690051219153959,0.48296268477478677,0.36581458116505217,True,early_onset,0.7539597591886575
ABCG2,0.5187486254334166,0.18214985489285862,0.5327004153999836,0.743226544766658,0.10376727147919634,0.22190357130374297,0.22447791933324135,0.5193653162107047,True,other,0.697968377321994
ABCG4,0.9897505554165753,0.0074753511506655225,0.2564725982150274,0.816828600152917,0.1100643215126233,0.2311610157486109,-0.17292195526365828,0.6191895502911631,False,other,1.2116991927453151
ABHD1,-0.8464117425284324,0.3564415497966851,0.6658473855385978,1.2739028454078836,0.1704858979243839,0.3146000044016196,2.120314587936316,0.00822072970430689,True,sign_reversal,-0.6644240929200725
