pathway	n_genes	auc_cat_over_mouse	cat_median	mouse_median
Myogenesis	47	0.8889	0.8943	0.737
Negative Regulation Of Apoptotic Process (GO:0043066)	88	1.0	0.8905	0.5386
Negative Regulation Of Cell Population Proliferation (GO:0008285)	32	1.0	0.8343	0.4418
Negative Regulation Of Cellular Biosynthetic Process (GO:0031327)	32	1.0	0.7959	0.5085
Negative Regulation Of Cellular Process (GO:0048523)	64	1.0	0.8766	0.5238
Negative Regulation Of DNA-templated Transcription (GO:0045892)	85	1.0	0.7927	0.4888
Negative Regulation Of Gene Expression (GO:0010629)	54	1.0	0.8115	0.517
Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	30	1.0	0.8691	0.5968
Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)	45	1.0	0.7805	0.2762
Negative Regulation Of Programmed Cell Death (GO:0043069)	79	1.0	0.8759	0.4454
Negative Regulation Of Protein Metabolic Process (GO:0051248)	38	1.0	0.891	0.6456
Negative Regulation Of Transcription By RNA Polymerase II (GO:0000122)	53	1.0	0.845	0.4844
Nervous System Development (GO:0007399)	31	1.0	0.7662	0.5529
Non-alcoholic fatty liver disease	46	1.0	0.9569	0.6556
Organelle Assembly (GO:0070925)	47	0.9722	0.8485	0.5566
Organelle Organization (GO:0006996)	79	1.0	0.8377	0.3984
Oxidative Phosphorylation	121	1.0	0.9458	0.6754
Oxidative Phosphorylation (GO:0006119)	35	0.9167	0.9631	0.7625
Oxidative phosphorylation	55	1.0	0.893	0.6083
PI3K-Akt signaling pathway	52	0.7222	0.874	0.7649
Parkinson disease	100	0.9722	0.8092	0.5854
Pathogenic Escherichia coli infection	54	0.8611	0.8349	0.7386
Pathways in cancer	61	1.0	0.8396	0.4444
Pathways of neurodegeneration	131	1.0	0.7827	0.529
Peptide Biosynthetic Process (GO:0043043)	70	0.7222	0.7628	0.5586
Peroxisome	42	1.0	0.8732	0.5273
Phagosome	44	1.0	0.84	0.6914
Phosphate-Containing Compound Metabolic Process (GO:0006796)	39	1.0	0.9174	0.4334
Phosphorylation (GO:0016310)	39	1.0	0.9157	0.5459
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)	31	1.0	0.7612	0.4608
Positive Regulation Of Apoptotic Process (GO:0043065)	40	1.0	0.88	0.6492
Positive Regulation Of Cell Differentiation (GO:0045597)	32	0.7222	0.8389	0.5996
Positive Regulation Of Cell Migration (GO:0030335)	48	0.8056	0.8073	0.6844
Positive Regulation Of Cell Motility (GO:2000147)	39	0.8333	0.8273	0.6744
Positive Regulation Of Cell Population Proliferation (GO:0008284)	58	1.0	0.8503	0.4543
Positive Regulation Of Cellular Biosynthetic Process (GO:0031328)	38	1.0	0.8722	0.6374
Positive Regulation Of Cellular Process (GO:0048522)	82	0.8333	0.8078	0.6358
Positive Regulation Of Cytokine Production (GO:0001819)	36	1.0	0.8999	0.5088
Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091)	31	1.0	0.938	0.632
Positive Regulation Of DNA-templated Transcription (GO:0045893)	108	1.0	0.8975	0.6302
Positive Regulation Of Developmental Process (GO:0051094)	32	0.9167	0.7334	0.4468
Positive Regulation Of Gene Expression (GO:0010628)	70	1.0	0.8688	0.579
Positive Regulation Of Intracellular Protein Transport (GO:0090316)	30	1.0	0.8932	0.5834
Positive Regulation Of Intracellular Signal Transduction (GO:1902533)	76	1.0	0.8379	0.6048
Positive Regulation Of MAPK Cascade (GO:0043410)	30	0.7222	0.8594	0.787
Positive Regulation Of Macromolecule Metabolic Process (GO:0010604)	49	1.0	0.8931	0.6049
Positive Regulation Of Multicellular Organismal Process (GO:0051240)	48	1.0	0.9199	0.6586
Positive Regulation Of Nucleic Acid-Templated Transcription (GO:1903508)	48	1.0	0.9558	0.6746
Positive Regulation Of Programmed Cell Death (GO:0043068)	36	1.0	0.885	0.6948
Positive Regulation Of Protein Metabolic Process (GO:0051247)	45	1.0	0.931	0.4846
Positive Regulation Of Protein Modification Process (GO:0031401)	30	1.0	0.8328	0.4773
Positive Regulation Of Protein Phosphorylation (GO:0001934)	45	1.0	0.9157	0.3614
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	70	1.0	0.7629	0.5761
Positive Regulation Of Translation (GO:0045727)	33	1.0	0.8693	0.6038
Pperoxisome	44	1.0	0.9115	0.3379
Prion disease	99	1.0	0.8696	0.6607
Propanoate metabolism	30	1.0	0.9504	0.8082
Proteasomal Protein Catabolic Process (GO:0010498)	45	0.9167	0.6041	-0.0446
Proteasome	32	0.9167	0.8822	0.2534
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161)	57	1.0	0.6471	-0.0129
Protein Homooligomerization (GO:0051260)	35	1.0	0.8862	0.4824
Protein Localization (GO:0008104)	88	1.0	0.8295	0.3618
Protein Localization To Cell Periphery (GO:1990778)	30	1.0	0.7762	0.547
Protein Localization To Membrane (GO:0072657)	45	1.0	0.7743	0.4902
Protein Localization To Organelle (GO:0033365)	32	1.0	0.9196	0.7106
Protein Modification By Small Protein Conjugation (GO:0032446)	43	1.0	0.8916	0.2548
Protein Modification Process (GO:0036211)	86	1.0	0.8227	0.6449
Protein Phosphorylation (GO:0006468)	42	0.9167	0.6967	0.4361
Protein Secretion	54	1.0	0.799	0.2842
Protein Stabilization (GO:0050821)	59	1.0	0.8516	0.5387
Protein Transport (GO:0015031)	85	0.8056	0.853	0.6912
Protein Ubiquitination (GO:0016567)	32	1.0	0.8667	0.1893
Protein processing in endoplasmic reticulum	59	1.0	0.6993	0.3507
Protein-Containing Complex Assembly (GO:0065003)	74	0.8333	0.8915	0.6626
Proteoglycans in cancer	47	0.7222	0.8357	0.768
Proteolysis (GO:0006508)	53	1.0	0.8112	0.4629
Proton Motive Force-Driven ATP Synthesis (GO:0015986)	32	0.9167	0.9588	0.7625
Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776)	32	0.9167	0.9588	0.7625
