collection	pathway	n_genes	state	cos	ceiling	gap_to_ceiling	random_lo95	random_hi95	above_random
GO_BP	RNA Processing (GO:0006396)	48	IRI_14d	0.2019	0.7419	0.54	0.108	0.6979	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_28d	0.2272	0.6254	0.3982	0.0395	0.746	False
GO_BP	RNA Processing (GO:0006396)	48	IRI_12mo	0.3027	0.5429	0.2403	-0.0007	0.7354	False
GO_BP	RNA Splicing (GO:0008380)	30	cat_CKD12	0.8267	0.6191	-0.2076	0.7733	0.97	False
GO_BP	RNA Splicing (GO:0008380)	30	cat_CKD34	1.0	0.7547	-0.2453	1.0	1.0	False
GO_BP	RNA Splicing (GO:0008380)	30	cat_med_CKD12	0.6088	0.6313	0.0224	0.5473	0.953	False
GO_BP	RNA Splicing (GO:0008380)	30	cat_med_CKD34	0.5371	0.7083	0.1711	0.6682	0.9477	False
GO_BP	RNA Splicing (GO:0008380)	30	mouse_5D	0.3981	0.8432	0.4451	-0.11	0.7222	False
GO_BP	RNA Splicing (GO:0008380)	30	mouse_2W	0.35	0.865	0.515	0.112	0.7656	False
GO_BP	RNA Splicing (GO:0008380)	30	mouse_3W	0.4503	0.8374	0.3871	0.0825	0.7801	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_2h	0.1264	0.6911	0.5647	-0.1979	0.5625	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_4h	0.3015	0.8162	0.5147	-0.1049	0.68	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_24h	0.5123	0.8609	0.3486	0.1401	0.7889	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_48h	0.5749	0.8403	0.2654	0.1794	0.776	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_72h	0.5895	0.7807	0.1912	0.2199	0.8135	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_7d	0.5282	0.8532	0.3251	0.1642	0.8143	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_14d	0.3489	0.7596	0.4107	0.1012	0.781	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_28d	0.3525	0.6658	0.3133	0.0234	0.7997	False
GO_BP	RNA Splicing (GO:0008380)	30	IRI_12mo	0.3923	0.6497	0.2574	-0.0106	0.7887	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	cat_CKD12	0.7801	0.4436	-0.3365	0.7683	0.9607	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	cat_CKD34	1.0	0.6651	-0.3349	1.0	1.0	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	cat_med_CKD12	0.4973	0.5088	0.0115	0.6132	0.9292	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	cat_med_CKD34	0.6522	0.6687	0.0165	0.7046	0.9424	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	mouse_5D	0.3124	0.793	0.4806	-0.0554	0.6564	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	mouse_2W	0.2378	0.8116	0.5737	0.2149	0.7213	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	mouse_3W	0.3074	0.7786	0.4711	0.1529	0.7198	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_2h	-0.1866	0.7117	0.8983	-0.1588	0.47	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_4h	-0.1237	0.7845	0.9082	-0.0217	0.6035	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_24h	0.2776	0.8057	0.528	0.2369	0.7239	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_48h	0.3647	0.7913	0.4266	0.2149	0.7277	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_72h	0.3314	0.7241	0.3927	0.2557	0.7616	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_7d	0.2707	0.8014	0.5306	0.1777	0.7544	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_14d	0.0942	0.7166	0.6224	0.108	0.6979	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_28d	0.0102	0.6036	0.5934	0.0395	0.746	False
GO_BP	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	55	IRI_12mo	0.3117	0.6595	0.3478	-0.0007	0.7354	False
GO_BP	Actin Filament Organization (GO:0007015)	44	cat_CKD12	0.9627	0.9341	-0.0286	0.7683	0.9607	True
GO_BP	Actin Filament Organization (GO:0007015)	44	cat_CKD34	1.0	0.9412	-0.0588	1.0	1.0	False
GO_BP	Actin Filament Organization (GO:0007015)	44	cat_med_CKD12	0.7963	0.9001	0.1038	0.6132	0.9292	False
GO_BP	Actin Filament Organization (GO:0007015)	44	cat_med_CKD34	0.9068	0.8155	-0.0913	0.7046	0.9424	False
GO_BP	Actin Filament Organization (GO:0007015)	44	mouse_5D	0.6336	0.9586	0.325	-0.0554	0.6564	False
GO_BP	Actin Filament Organization (GO:0007015)	44	mouse_2W	0.7553	0.9691	0.2138	0.2149	0.7213	True
GO_BP	Actin Filament Organization (GO:0007015)	44	mouse_3W	0.7421	0.946	0.2039	0.1529	0.7198	True
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_2h	0.175	0.8281	0.653	-0.1588	0.47	False
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_4h	0.3645	0.8086	0.4441	-0.0217	0.6035	False
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_24h	0.6557	0.9629	0.3072	0.2369	0.7239	False
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_48h	0.7349	0.9642	0.2293	0.2149	0.7277	True
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_72h	0.7566	0.9479	0.1913	0.2557	0.7616	False
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_7d	0.7834	0.9659	0.1825	0.1777	0.7544	True
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_14d	0.7938	0.9564	0.1627	0.108	0.6979	True
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_28d	0.7803	0.9576	0.1774	0.0395	0.746	True
GO_BP	Actin Filament Organization (GO:0007015)	44	IRI_12mo	0.8865	0.9443	0.0578	-0.0007	0.7354	True
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	cat_CKD12	0.9649	0.8397	-0.1252	0.7733	0.97	False
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	cat_CKD34	1.0	0.9707	-0.0293	1.0	1.0	False
GO_BP	Aerobic Electron Transport Chain (GO:0019646)	36	cat_med_CKD12	0.9762	0.9503	-0.0259	0.5473	0.953	True
