groupA_gene	groupB_gene	groupA_expr_rank	groupB_expr_rank
TMX3	CGRRF1	0.466165	0.46618
CTC1	TBC1D7	0.46657	0.466617
AGL	ZNF32	0.466583	0.466318
CARS2	THUMPD3	0.467752	0.467868
AK1	SYPL2	0.468088	0.468085
RPA3	TADA2B	0.469677	0.469661
PDLIM2	SPG11	0.470195	0.470253
UTRN	TMUB1	0.470494	0.470495
LRRC57	XRCC6	0.471266	0.471301
SPECC1L	COX11	0.471479	0.471467
NOP56	UXS1	0.472904	0.472945
KANK2	PCF11	0.475649	0.475607
EXOSC7	MON1A	0.476075	0.476066
PLEKHA5	NCCRP1	0.476489	0.476473
CUL5	ATG2A	0.477523	0.477523
ROCK2	CNNM3	0.477599	0.47757
RBM14	RNF24	0.478206	0.478349
SEC23IP	SSX2IP	0.47827	0.478454
RPS6KA1	MICALL1	0.478362	0.47863
MAOA	DDIT3	0.478813	0.478932
CENPV	GRPEL2	0.479898	0.479905
SEC23A	IRF2BP1	0.480536	0.48067
STAT1	TRAPPC6A	0.48054	0.480714
BCS1L	ZFC3H1	0.481367	0.481301
FABP4	NGDN	0.481419	0.481464
MRPS17	KIAA1549	0.481538	0.481733
DIABLO	TIMM17B	0.482612	0.482559
ANKS1A	GID4	0.482937	0.482909
SART3	MIEF1	0.483122	0.483156
CYP39A1	AVPI1	0.484262	0.484251
LSM7	NCOA6	0.484619	0.484612
NUCB2	F2RL1	0.485638	0.485677
PRELP	ATF1	0.486003	0.486043
PCK2	RCBTB2	0.486281	0.486386
CAPG	KDM3B	0.486463	0.486481
FBXO6	PEX26	0.487237	0.487161
UCHL3	TCF21	0.487388	0.487144
TIMM8A	ALG3	0.487898	0.487921
KPNA3	SLC5A9	0.488468	0.48855
GMPS	IBTK	0.489055	0.489014
NES	LBR	0.489564	0.4896
THUMPD1	TIPRL	0.49069	0.490603
APEX1	CABIN1	0.49101	0.491004
SPTBN2	NRBF2	0.491477	0.491415
RAP1GDS1	GZF1	0.491761	0.491643
RSU1	KDM1B	0.492133	0.492107
PROM2	MRRF	0.492669	0.492723
CTPS2	VPS39	0.492918	0.492927
BST1	NUDT8	0.493029	0.493165
RAI14	MBD6	0.493215	0.493433
KRT7	HERC2	0.494079	0.49401
ELAVL1	AGO1	0.494258	0.494259
MTAP	LIMCH1	0.494954	0.494949
TMEM65	WIPI1	0.49496	0.494976
COL6A1	MCM3AP	0.496116	0.496164
NUDT13	PPP6R2	0.49616	0.49606
TMEM43	PSMG2	0.496478	0.496413
VARS2	TAF8	0.496581	0.496787
