raw	centred	drop
0.89049	0.4765	0.414
0.81571	0.50641	0.30929
0.80983	0.67575	0.13408
0.87927	0.50321	0.37607
0.89103	0.62553	0.26549
0.82265	0.56838	0.25427
0.89637	0.56036	0.336
0.79327	0.47062	0.32265
0.75	0.52724	0.22276
0.81998	0.6015	0.21848
0.87607	0.5844	0.29167
0.79808	0.62233	0.17575
0.89957	0.54487	0.3547
0.84081	0.57051	0.2703
0.89103	0.461	0.43002
0.80609	0.48985	0.31624
0.79647	0.50855	0.28793
0.77778	0.58868	0.1891
0.78526	0.67788	0.10737
0.76763	0.56303	0.20459
0.74947	0.49306	0.25641
0.82212	0.49145	0.33066
0.79754	0.53098	0.26656
0.76282	0.58333	0.17949
0.78793	0.56197	0.22596
0.8328	0.54861	0.28419
0.83707	0.41186	0.42521
0.89744	0.5	0.39744
0.78205	0.65598	0.12607
0.81303	0.50641	0.30662
0.82906	0.53472	0.29434
0.83387	0.52724	0.30662
0.88194	0.47169	0.41026
0.86165	0.45994	0.40171
0.79434	0.46047	0.33387
0.88675	0.49092	0.39583
0.87927	0.47863	0.40064
0.76335	0.54274	0.22062
0.83494	0.44979	0.38515
0.90224	0.42308	0.47917
0.87393	0.61912	0.25481
0.81464	0.59081	0.22382
0.71795	0.52618	0.19177
0.8937	0.54487	0.34882
0.82158	0.66827	0.15331
0.89156	0.50107	0.39049
0.89637	0.52511	0.37126
0.84455	0.63675	0.2078
0.76709	0.66186	0.10524
0.8563	0.3985	0.4578
0.7906	0.48397	0.30662
0.8734	0.46154	0.41186
0.81143	0.44925	0.36218
0.8969	0.48024	0.41667
0.74733	0.71902	0.02831
0.77137	0.6453	0.12607
0.84348	0.55502	0.28846
0.85203	0.69071	0.16132
0.84615	0.6656	0.18056
0.89797	0.53365	0.36432
0.86912	0.52244	0.34669
0.83333	0.58066	0.25267
0.83921	0.49252	0.34669
0.89797	0.45566	0.44231
0.89744	0.50801	0.38942
0.84188	0.68857	0.15331
0.83333	0.45513	0.37821
0.90118	0.53419	0.36699
0.75107	0.55075	0.20032
0.72382	0.64797	0.07585
0.88194	0.50641	0.37553
0.84241	0.44444	0.39797
0.76068	0.71368	0.04701
0.82425	0.50748	0.31677
0.83333	0.5422	0.29113
0.81357	0.53152	0.28205
0.81143	0.48985	0.32158
0.74412	0.69231	0.05182
0.80235	0.70299	0.09936
0.85417	0.6672	0.18697
0.82746	0.51068	0.31677
0.81998	0.65278	0.1672
0.82425	0.52137	0.30288
0.84081	0.51763	0.32318
0.836	0.58707	0.24893
0.88889	0.46207	0.42682
0.82799	0.47863	0.34936
0.85256	0.49145	0.36111
0.84776	0.47543	0.37233
0.82692	0.55662	0.2703
0.80609	0.59241	0.21368
0.87874	0.50321	0.37553
0.85951	0.49466	0.36485
0.76068	0.52457	0.23611
0.85363	0.58013	0.2735
0.8328	0.55983	0.27297
0.89744	0.53472	0.36271
0.90438	0.55288	0.3515
0.87233	0.50534	0.36699
0.87073	0.48077	0.38996
0.85096	0.75801	0.09295
0.89103	0.61806	0.27297
0.78953	0.42094	0.36859
0.86218	0.46261	0.39957
0.87821	0.5828	0.29541
0.81784	0.46902	0.34882
0.89156	0.47222	0.41934
0.83814	0.56624	0.2719
0.8953	0.57318	0.32212
0.77244	0.54754	0.22489
0.85737	0.47276	0.38462
0.88515	0.50855	0.3766
0.83387	0.50053	0.33333
0.8766	0.52618	0.35043
0.84829	0.50534	0.34295
0.82799	0.63675	0.19124
0.81303	0.53632	0.27671
0.66774	0.52564	0.14209
0.75267	0.76122	-0.00855
0.8141	0.51603	0.29808
0.89797	0.59936	0.29861
0.85951	0.45192	0.40759
0.78739	0.57585	0.21154
0.79861	0.56464	0.23397
0.76015	0.59348	0.16667
0.79754	0.53739	0.26015
0.84669	0.57318	0.2735
0.77991	0.48291	0.29701
0.76656	0.5625	0.20406
0.81357	0.5812	0.23237
0.78365	0.50534	0.27831
0.7516	0.62714	0.12447
0.85524	0.53579	0.31944
0.7265	0.5625	0.164
0.87179	0.66293	0.20887
0.87553	0.43269	0.44284
0.69551	0.52244	0.17308
0.76976	0.61058	0.15919
0.71635	0.57425	0.14209
0.77778	0.40438	0.3734
0.80716	0.65598	0.15118
0.84135	0.47382	0.36752
0.82853	0.47489	0.35363
0.77457	0.68857	0.086
0.76335	0.7265	0.03686
0.88141	0.61592	0.26549
0.83333	0.50053	0.3328
0.81464	0.52511	0.28953
0.86165	0.44605	0.4156
0.78152	0.84188	-0.06036
0.89209	0.57265	0.31944
0.86485	0.55662	0.30823
0.81891	0.4813	0.33761
0.82639	0.48825	0.33814
0.82746	0.51282	0.31464
0.89744	0.55556	0.34188
0.84081	0.53953	0.30128
0.83387	0.64744	0.18643
0.79754	0.56998	0.22756
0.86752	0.5016	0.36592
0.78365	0.52671	0.25694
0.88782	0.51442	0.3734
0.80556	0.67468	0.13088
0.83707	0.59936	0.23771
0.87607	0.54274	0.33333
0.86165	0.50641	0.35524
0.83333	0.48611	0.34722
0.78472	0.50107	0.28365
0.8937	0.55823	0.33547
0.88889	0.57959	0.30929
0.77778	0.47222	0.30556
0.86912	0.66667	0.20246
0.87447	0.57746	0.29701
