a	b	cos	spearman_rho	class	dataset_a	dataset_b	shared_control	cat_subclass	ceiling_median	ceiling_lo95	ceiling_hi95	cos_corrected	cos_corrected_lo95	cos_corrected_hi95	cos_exceeds_ceiling	ceiling_raw	ceiling_SB	ceiling_sat	shared_cohort
mouse_5D	IRI_72h	0.6547	0.6538	same_species_diff_dataset	podtreck	iri	False		0.8821	0.7688	0.9455	0.7422	0.6924	0.8516	False	0.7889	0.88		False
mouse_5D	IRI_7d	0.5053	0.4784	same_species_diff_dataset	podtreck	iri	False		0.9512	0.8872	0.9657	0.5312	0.5233	0.5695	False	0.9093	0.9525		False
mouse_5D	IRI_14d	0.2796	0.2508	same_species_diff_dataset	podtreck	iri	False		0.9307	0.8551	0.952	0.3004	0.2937	0.327	False	0.8734	0.9323		False
mouse_5D	IRI_28d	0.4134	0.4273	same_species_diff_dataset	podtreck	iri	False		0.9058	0.665	0.9447	0.4564	0.4376	0.6217	False	0.8277	0.9048		False
mouse_5D	IRI_12mo	0.2915	0.2922	same_species_diff_dataset	podtreck	iri	False		0.8937	0.8286	0.9278	0.3261	0.3142	0.3518	False	0.8059	0.8911		False
mouse_2W	mouse_3W	0.9488	0.9122	within_dataset	podtreck	podtreck	True		0.9755	0.8859	0.9819	0.9726	0.9662	1.0709	False	0.9527	0.9757		True
mouse_2W	IRI_2h	0.1193	0.1075	same_species_diff_dataset	podtreck	iri	False		0.901	0.7412	0.9445	0.1324	0.1263	0.1609	False	0.8251	0.9008		False
mouse_2W	IRI_4h	0.2808	0.2939	same_species_diff_dataset	podtreck	iri	False		0.9434	0.8017	0.965	0.2976	0.291	0.3503	False	0.8956	0.9439		False
mouse_2W	IRI_24h	0.7616	0.7537	same_species_diff_dataset	podtreck	iri	False		0.9784	0.9168	0.9852	0.7785	0.773	0.8307	False	0.9579	0.9784		False
mouse_2W	IRI_48h	0.6726	0.6665	same_species_diff_dataset	podtreck	iri	False		0.9593	0.8958	0.9797	0.7011	0.6866	0.7509	False	0.923	0.9595		False
